	taxid	taxid2	species_taxid	refseq	uniprot	ftp
0	188379	188379	188379	GCF_000687185.1	UP000053119	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/687/185/GCF_000687185.1_ASM68718v1
1	81824	431895	81824	GCF_000002865.3	UP000001357	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/865/GCF_000002865.3_V1.0
2	556484	556484	2850	GCF_000150955.2	UP000000759	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/955/GCF_000150955.2_ASM15095v2
3	1868482	1868482	1868482	GCF_000164805.1	UP000189704	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/805/GCF_000164805.1_Tarsius_syrichta-2.0.1
4	3055	3055	3055	GCF_000002595.1	UP000006906	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/595/GCF_000002595.1_v3.0
5	10116	10116	10116	GCF_000001895.5	UP000002494	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/895/GCF_000001895.5_Rnor_6.0
6	747089	747089	588596	GCF_000439145.1	UP000236242	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/145/GCF_000439145.1_ASM43914v3
7	7574	7574	7574	GCF_001039355.2	UP000085678	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/039/355/GCF_001039355.2_LinAna2.0
8	12957	12957	12957	GCF_000143395.1	UP000005205	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/395/GCF_000143395.1_Attacep1.0
9	759272	759272	209285	GCF_000221225.1	UP000008066	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/221/225/GCF_000221225.1_CTHT_3.0
10	3635	3635	3635	GCF_000987745.1	UP000189702	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/987/745/GCF_000987745.1_ASM98774v1
11	670386	670386	2086695	GCF_000004825.1	UP000001396	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/825/GCF_000004825.1_PolPal_Dec2009
12	6334	6334	6334	GCF_000181795.1	UP000006823	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/795/GCF_000181795.1_Trichinella_spiralis-3.7.1
13	905079	905079	55529	GCF_000315625.1	UP000011087	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/625/GCF_000315625.1_Guith1
14	665912	665912	45130	GCF_000338995.1	UP000016934	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/338/995/GCF_000338995.1_Cocsa1
15	9646	9646	9646	GCF_000004335.2	UP000008912	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/335/GCF_000004335.2_AilMel_1.0
16	7260	7260	7260	GCF_000005925.1	UP000007798	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/925/GCF_000005925.1_dwil_caf1
17	321614	321614	13684	GCF_000146915.1	UP000001055	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/915/GCF_000146915.1_ASM14691v2
18	656061	656061	39416	GCF_000151645.1	UP000006911	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/645/GCF_000151645.1_ASM15164v1
19	128390	128390	128390	GCF_000708225.1	UP000053283	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/708/225/GCF_000708225.1_ASM70822v1
20	930090	930090	101162	GCF_000523455.1	UP000054032	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/523/455/GCF_000523455.1_Cochliobolus_miyabeanus_v1.0
21	418784	418784	418784	GCF_003013735.1	UP000241107	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/013/735/GCF_003013735.1_Cand_pseudohaemulonii_B12108
22	426428	426428	5507	GCF_000149955.1	UP000009097	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/955/GCF_000149955.1_ASM14995v2
23	3827	3827	3827	GCF_000331145.1	UP000087171	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/331/145/GCF_000331145.1_ASM33114v1
24	4072	4072	4072	GCF_000710875.1	UP000222542	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/710/875/GCF_000710875.1_Pepper_Zunla_1_Ref_v1.0
25	1442371	1442371	979981	GCF_000836435.1	UP000053411	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/836/435/GCF_000836435.1_Fons_mult_CBS_102226_V1
