,Name,HSP.20,HSP.40,HSP.60,HSP.70,HSP.90,HSP.100,sum_HSP,total_number_protein
1,Absidia_glauca,1,45,22,22,3,15,108,14825
2,Absidia_repens,1,43,22,27,5,14,112,14740
3,Acanthamoeba_castellanii,11,36,6,10,4,9,76,14938
4,Acanthisitta_chloris,5,20,8,6,3,8,50,9650
5,Acidomyces_richmondensis,3,27,10,9,1,11,61,11098
6,Acremonium_chrysogenum,2,23,10,10,1,8,54,8899
7,Acromyrmex_echinatior,5,29,10,7,3,5,59,13962
8,Acyrthosiphon_pisum,2,52,18,20,4,10,106,35810
9,Aedes_aegypti,19,38,11,3,5,8,84,15586
10,Aedes_albopictus,14,34,9,16,5,8,86,17025
11,Agaricus_bisporus,4,29,10,7,2,8,60,11204
12,Agrilus_planipennis,17,29,11,9,5,6,77,11584
13,Ailuropoda_melanoleuca,9,40,18,15,7,10,99,19344
14,Ajellomyces_capsulatus,2,24,11,10,1,11,59,9252
15,Ajellomyces_dermatitidis,2,27,10,10,1,10,60,9745
16,Albugo_candida,0,52,19,14,5,17,107,13200
17,Alligator_mississippiensis,18,42,13,14,4,9,100,24656
18,Alligator_sinensis,13,38,14,14,5,10,94,18578
19,Allomyces_macrogynus,11,50,21,33,6,15,136,18611
20,Alternaria_alternata,3,30,10,11,1,10,65,13463
21,Amanita_muscaria,11,29,11,9,2,7,69,17947
22,Amazona_aestiva,10,38,10,13,4,10,85,16092
23,Amborella_trichopoda,26,74,30,17,7,21,175,27359
24,Amphiamblys_sp.,2,11,8,5,2,2,30,3608
25,Amphimedon_queenslandica,0,46,15,51,2,13,127,43435
26,Anaeromyces_robustus,51,35,12,15,3,14,130,12654
27,Ananas_comosus,33,87,28,31,5,28,212,23390
28,Anas_platyrhynchos,9,33,12,12,3,14,83,15659
29,Ancylostoma_ceylanicum,28,32,12,8,3,7,90,36519
30,Ancylostoma_duodenale,21,41,18,11,4,10,105,27403
31,Angiostrongylus_cantonensis,15,26,11,7,3,6,68,14486
32,Angiostrongylus_costaricensis,18,28,12,8,4,7,77,13378
33,Angomonas_deanei,1,87,31,32,15,18,184,14524
34,Anisakis_simplex,13,32,27,12,10,6,100,20761
35,Anncaliia_algerae,0,8,14,5,1,2,30,5143
36,Anolis_carolinensis,9,44,13,13,5,14,98,18528
37,Anopheles_albimanus,6,33,10,12,4,6,71,12274
38,Anopheles_arabiensis,6,33,9,7,4,7,66,13563
39,Anopheles_atroparvus,7,28,10,7,4,7,63,13752
40,Anopheles_christyi,4,29,10,7,2,8,60,10851
41,Anopheles_coluzzii,9,26,9,7,3,12,66,14552
42,Anopheles_culicifacies,6,32,10,7,4,5,64,14294
43,Anopheles_darlingi,6,30,11,11,4,7,69,10447
44,Anopheles_dirus,6,31,9,7,4,5,62,13027
45,Anopheles_epiroticus,6,34,10,7,4,6,67,11899
46,Anopheles_farauti,6,26,10,7,3,5,57,12974
47,Anopheles_funestus,6,34,10,7,4,6,67,13672
48,Anopheles_gambiae,7,35,11,11,5,5,74,12435
49,Anopheles_maculatus,2,25,11,9,5,7,59,14835
50,Anopheles_melas,5,34,10,7,4,6,66,15158
51,Anopheles_merus,6,33,10,7,5,6,67,13265
52,Anopheles_minimus,5,34,10,7,6,6,68,12852
53,Anopheles_quadriannulatus,8,33,10,7,3,6,67,13700
54,Anopheles_sinensis,7,30,10,8,4,4,63,19343
55,Anopheles_stephensi,10,51,16,17,8,8,110,23100
56,Anthracocystis_flocculosa,0,15,6,6,1,7,35,4425
57,Antrostomus_carolinensis,1,16,4,2,1,5,29,8957
58,Apaloderma_vittatum,6,14,6,6,3,4,39,7903
59,Aphanomyces_astaci,0,43,13,14,5,12,87,19020
60,Aphanomyces_invadans,0,42,15,15,3,13,88,15212
61,Apis_mellifera,10,28,10,6,4,9,67,15323
62,Aptenodytes_forsteri,7,33,9,10,4,11,74,13704
63,Arabidopsis_lyrata,26,100,35,27,17,32,237,32049
64,Arabidopsis_thaliana,26,102,24,19,8,27,206,27567
65,Arabis_alpina,29,68,21,16,11,24,169,21574
