Name	treepos	Nprot	Median	Mean	Std	Q1	Q3	Min	Max	Sum
Ajellomyces_dermatitidis	1	9745	1207.7	2160.92	3008.61	438.67	2527.52	0.0	36431.31	21058144.33
Paracoccidioides_lutzii	2	8811	1207.99	2203.59	3070.67	427.8	2611.52	0.0	36126.69	19415812.0
Talaromyces_stipitatus	3	12446	1592.54	2802.47	3548.8	689.83	3292.8	0.0	38700.64	34879547.06
Aspergillus_terreus	4	10416	1697.56	2947.0	3606.79	774.65	3446.91	0.0	34827.3	30695904.24
Aspergillus_oryzae	5	11421	1792.93	3287.15	4057.44	848.25	3802.93	0.0	46441.2	37542593.51
Aspergillus_niger	6	10372	1807.07	3257.83	3990.24	844.67	3800.43	0.0	39665.31	33790235.44
Penicillium_digitatum	7	9018	1368.06	2495.45	3447.38	491.01	2887.89	0.0	41241.71	22503985.84
Fonsecaea_erecta	8	12089	1638.07	2866.73	3555.47	725.45	3352.23	0.0	36617.78	34655924.06
Endocarpon_pusillum	9	9207	1560.21	2649.96	3343.15	599.86	3207.4	0.0	36369.11	24398207.58
Marssonina_brunnea	10	10037	1522.33	2555.62	3243.28	659.09	3012.26	0.0	36349.23	25650788.45
Diplodia_corticola	11	10827	1582.47	2797.13	3522.46	689.66	3265.96	0.0	53549.99	30284531.0
Leptosphaeria_maculans	12	12608	1149.72	2152.97	3080.54	357.76	2506.01	0.0	38253.57	27144602.81
Setosphaeria_turcica	13	11687	1342.19	2448.75	3326.17	517.39	2765.95	0.0	37461.4	28618575.09
Selaginella_moellendorffii	14	32881	1657.94	2565.4	3063.31	771.62	3123.41	0.0	53170.18	84353072.04
Zymoseptoria_tritici	15	10972	1281.14	2338.67	3238.74	514.94	2595.18	0.0	36631.48	25659879.43
Pseudocercospora_fijiensis	16	13043	1273.43	2317.22	3153.41	520.8	2633.18	0.0	37373.86	30223465.62
Grosmannia_clavigera	17	8311	1723.02	2916.42	3547.26	764.63	3450.47	0.0	35187.39	24238363.21
Eutypa_lata	18	11684	1464.04	2448.07	3086.82	686.58	2756.29	0.0	43403.87	28603240.24
Colletotrichum_graminicola	19	12019	1488.75	2666.8	3578.45	621.17	3037.16	0.0	89432.16	32052278.49
Verticillium_alfalfae	20	10233	1338.67	2347.45	3056.1	524.64	2726.07	0.0	24844.66	24021470.94
Fusarium_oxysporum	21	16631	1514.1	2734.73	3546.95	649.29	3110.67	0.0	43252.69	45481281.15
Atta_colombica	22	14068	1480.51	2723.57	3886.62	562.56	3186.07	0.0	54401.51	38315178.23
Pochonia_chlamydosporia	23	14145	1494.51	2694.08	3569.16	662.4	3041.65	0.0	54725.57	38107728.33
Chaetomium_thermophilum	24	7174	1566.24	2625.88	3312.47	660.5	3114.11	0.0	35766.64	18838095.8
Thielavia_terrestris	25	9760	1421.04	2417.94	3193.24	558.31	2806.46	0.0	37068.45	23599118.56
Aphanomyces_astaci	26	19020	1438.31	2704.84	4108.88	558.79	3026.91	0.0	85179.24	51446071.48
Neurospora_crassa	27	9759	1398.19	2413.19	3201.66	556.76	2806.7	0.0	35387.66	23550313.83
Sugiyamaella_lignohabitans	28	4518	1528.06	2596.81	3259.86	672.21	3067.66	0.0	23945.59	11732403.09
Metschnikowia_bicuspidata	29	5823	1619.39	2806.82	3570.56	694.03	3295.88	0.0	34556.96	16344100.28
Lodderomyces_elongisporus	30	5779	1776.85	2990.93	3629.93	746.8	3664.49	0.0	35640.89	17284582.68
Candida_tropicalis	31	6226	1762.33	3028.75	3725.07	775.55	3584.36	0.0	34619.04	18856992.44
Candida_albicans	32	5983	1718.44	2995.61	3757.49	728.3	3526.53	0.0	34466.66	17922741.42
Spathaspora_passalidarum	33	5972	1562.11	2804.59	3629.08	651.05	3270.91	0.0	34136.95	16749005.81
Kuraishia_capsulata	34	6020	1596.84	2941.99	3798.12	671.39	3443.95	0.0	32556.74	17710755.98
Pichia_kudriavzevii	35	6873	1150.95	2353.95	3528.62	280.96	2748.6	0.0	44143.21	16178671.1
Ogataea_parapolymorpha	36	5338	1649.8	2941.07	3734.88	701.65	3418.08	0.0	34463.43	15699419.38
Tetrapisispora_blattae	37	5361	1708.86	3028.47	3796.75	743.68	3631.79	0.0	35270.94	16235617.19
Tetrapisispora_phaffii	38	5226	1710.01	2991.36	3881.8	717.05	3575.7	0.0	37161.58	15632850.29
Kazachstania_africana	39	5344	1640.72	2885.49	3703.79	691.43	3447.5	0.0	34364.72	15420043.25
Lachancea_thermotolerans	40	5093	1571.4	2815.04	3650.26	643.48	3281.04	0.0	30796.11	14336986.25
Lachancea_lanzarotensis	41	5055	1592.71	2822.79	3619.54	657.69	3320.06	0.0	33521.72	14269207.77
Kluyveromyces_marxianus	42	4925	1638.9	2951.27	3782.85	676.57	3475.7	0.0	32725.34	14535024.24
Kluyveromyces_lactis	43	5071	1602.75	2879.01	3742.95	668.93	3350.34	0.0	33695.75	14599442.07
Eremothecium_cymbalariae	44	4428	1611.8	2776.79	3545.54	681.11	3343.48	0.0	34349.0	12295615.6
Kazachstania_naganishii	45	5254	1634.59	2849.34	3691.22	657.59	3349.33	0.0	33711.27	14970436.74
Candida_glabrata	46	5200	1606.39	2866.67	3755.2	653.11	3399.12	0.0	37122.4	14906697.01
Vanderwaltozyma_polyspora	47	5306	1601.87	2850.78	4115.36	646.83	3303.94	0.0	95435.92	15126255.35
Zygosaccharomyces_rouxii	48	4987	1566.68	2765.89	3589.64	643.01	3250.25	0.0	33528.85	13793507.51
Torulaspora_delbrueckii	49	4938	1542.39	2769.41	3595.35	663.67	3216.03	0.0	33510.64	13675357.22
Naumovozyma_dairenensis	50	5473	1668.79	2868.05	3643.92	704.0	3453.1	0.0	32646.59	15696816.41
Drosophila_ficusphila	51	14697	1561.76	2757.35	3534.1	739.49	3183.54	0.0	48798.2	40524781.9
Saccharomyces_cerevisiae	52	6704	1631.66	2750.33	3551.19	676.39	3196.48	0.0	33941.69	18438243.35
Saccharomyces_paradoxus	53	5512	1413.4	2157.58	3092.41	235.98	2022.95	0.0	19733.97	11892554.67
Saccharomyces_bayanus	54	5490	1561.92	2765.7	3589.5	652.03	3204.86	0.0	33027.66	15183708.14
Saccharomyces_mikatae	55	5702	1450.8	2529.37	3341.2	572.99	2952.71	0.0	29843.52	14422477.22
Naumovozyma_castellii	56	5560	1639.65	2834.79	3656.89	673.19	3345.54	0.0	33376.99	15761460.12
Pneumocystis_murina	57	3634	1798.01	2981.8	3863.08	728.02	3619.89	0.0	42362.97	10835849.39
Pneumocystis_jirovecii	58	3746	1840.4	2954.96	3738.97	756.92	3599.91	0.0	43336.26	11069284.03
Lobosporangium_transversale	59	11588	1489.4	2474.64	3252.54	629.97	2867.35	0.0	34241.17	28676096.24
Emiliania_huxleyi	60	35667	993.44	1765.8	2503.18	336.83	2057.68	0.0	51082.98	62980951.18
Capsaspora_owczarzaki	61	8738	1973.86	3217.62	3894.78	865.86	4064.23	0.0	71739.62	28115536.21
Salpingoeca_rosetta	62	11614	1770.27	2964.88	4164.31	693.73	3578.64	0.0	78255.87	34434122.75
Cryptosporidium_muris	63	3924	2263.82	4026.76	5388.33	939.49	4842.73	0.0	83666.58	15801015.85
Eimeria_tenella	64	8594	1137.84	1989.72	2794.91	340.31	2497.31	0.0	36242.39	17099645.53
Trypanosoma_brucei	65	8557	1769.13	2817.92	3470.67	767.89	3447.26	0.0	45115.48	24112976.38
Babesia_microti	66	3594	1734.73	2778.93	3331.33	744.19	3485.8	0.0	32739.02	9987463.73
Babesia_bovis	67	3690	1742.03	3025.16	3802.28	773.05	3680.65	0.0	36305.38	11162845.72
Babesia_bigemina	68	4430	1642.48	2695.47	3393.64	667.69	3293.39	0.0	34336.6	11940946.7
Babesia_equi	69	5434	1977.47	3162.92	3950.51	890.5	3713.11	0.0	35561.64	17187295.6
Theileria_orientalis	70	3989	1803.41	3203.98	4294.43	714.33	3881.03	0.0	52718.43	12780683.53
Theileria_parva	71	4068	1929.7	3169.43	4015.39	815.79	3764.96	0.0	46646.72	12893255.0
Theileria_annulata	72	3789	2364.68	3835.85	4773.51	1047.01	4467.99	0.0	47465.33	14534041.28
Plasmodium_yoelii	73	6694	1810.7	2699.52	3095.18	670.79	3649.07	0.0	29800.87	18070573.15
Plasmodium_berghei	74	5060	2473.15	4465.5	6383.38	1011.61	5132.25	0.0	71775.99	22595421.45
Amphimedon_queenslandica	75	42908	1127.09	2166.22	3429.64	351.84	2503.48	0.0	96527.95	92948272.32
Malassezia_pachydermatis	76	4192	1439.01	2500.25	3415.98	580.04	2965.79	0.0	64196.06	10481060.98
Malassezia_globosa	77	4267	1366.69	2293.4	2981.0	516.97	2778.39	0.0	31899.0	9785920.74
Kalmanozyma_brasiliensis	78	5758	1519.73	2649.1	3405.04	634.17	3066.43	0.0	32463.1	15253535.47
Ustilago_maydis	79	6788	1551.18	2680.88	3430.57	684.06	3097.65	0.0	30814.97	18197804.33
Mixia_osmundae	80	6725	1592.03	2640.74	3325.48	630.88	3146.69	0.0	28852.45	17758960.08
Cryptococcus_neoformans	81	6596	1490.44	2647.91	3438.13	628.37	3056.11	0.0	33328.71	17465627.8
Cryptococcus_gattii	82	6471	1358.3	2408.51	3217.67	535.02	2817.08	0.0	33141.24	15585476.27
Trichosporon_asahii	83	8515	1280.76	2252.35	3090.24	513.37	2522.04	0.0	33408.48	19178734.06
Heterobasidion_irregulare	84	13148	1195.03	2082.8	2821.78	391.4	2485.24	0.0	34447.9	27384629.01
Gloeophyllum_trabeum	85	11734	1339.02	2304.63	3018.52	542.11	2700.46	0.0	26837.93	27042567.33
Dichomitus_squalens	86	7182	1373.31	2293.87	3002.99	528.39	2720.12	0.0	34768.59	16474553.74
Coniophora_puteana	87	1010	1426.95	2334.96	2831.05	574.19	2911.68	0.0	24675.9	2358313.59
Serpula_lacrymans	88	14336	985.48	1879.09	2770.1	281.46	2191.09	0.0	34367.65	26938663.71
Helobdella_robusta	89	23294	1322.8	2201.05	2934.22	497.13	2687.1	0.0	37864.64	51271193.72
Phycomyces_blakesleeanus	90	16154	1417.46	2259.89	2891.27	601.67	2713.04	0.0	33626.38	36506190.27
Dictyostelium_discoideum	91	12724	1841.53	3140.2	3953.6	737.15	3863.56	0.0	59079.07	39955965.56
Phytophthora_sojae	92	25720	1140.56	2213.56	3450.42	409.07	2425.56	0.0	64287.02	56932757.6
Phaeodactylum_tricornutum	93	10450	1701.84	2613.25	3000.04	776.57	3165.28	0.0	32683.02	27308426.91
Strongylocentrotus_purpuratus	94	28196	1579.72	2737.74	3467.89	597.07	3401.71	0.0	64400.01	77193201.35
Crassostrea_gigas	95	25905	1371.85	2448.81	3423.78	495.92	2860.47	0.0	81471.8	63436376.69
Caenorhabditis_elegans	96	19899	1749.01	3179.27	3630.15	894.69	3879.16	0.0	49533.84	63264372.15
Loa_loa	97	11884	1380.44	2349.59	3249.6	468.2	2894.31	0.0	76691.58	27922546.89
Tinamus_guttatus	98	13335	1197.22	2329.02	3274.41	349.18	2759.65	0.0	34116.07	31057428.4
Camponotus_floridanus	99	14787	1245.25	2352.04	3395.37	380.29	2838.74	0.0	50300.38	34779604.39
Trachymyrmex_zeteki	100	14133	1402.02	2641.48	3826.62	507.74	3100.71	0.0	68063.08	37332061.08
Trachymyrmex_cornetzi	101	18242	1281.38	2361.57	3515.17	459.69	2756.06	0.0	66408.79	43079717.53
