,Name,HSP.20,HSP.40,HSP.60,HSP.70,HSP.90,HSP.100,total_number_protein
14,Ajellomyces_dermatitidis,2,27,10,10,1,10,9745
623,Paracoccidioides_lutzii,2,25,11,9,1,11,8811
858,Talaromyces_stipitatus,4,26,10,10,1,8,12468
93,Aspergillus_terreus,4,25,10,10,1,8,10417
88,Aspergillus_oryzae,3,28,10,11,1,9,11421
86,Aspergillus_niger,4,24,10,11,1,9,10373
641,Penicillium_digitatum,3,26,10,8,1,9,9101
350,Fonsecaea_erecta,8,24,10,14,1,11,12089
318,Endocarpon_pusillum,2,24,9,11,1,11,9228
503,Marssonina_brunnea,3,28,10,11,1,11,10037
277,Diplodia_corticola,3,24,10,12,1,9,10833
474,Leptosphaeria_maculans,3,24,10,10,2,12,12608
807,Setosphaeria_turcica,3,25,10,10,1,9,11687
802,Selaginella_moellendorffii,42,97,32,31,10,48,32882
972,Zymoseptoria_tritici,4,27,11,11,1,11,10972
725,Pseudocercospora_fijiensis,2,26,10,9,1,10,13043
392,Grosmannia_clavigera,1,28,10,11,2,10,8311
334,Eutypa_lata,3,23,9,15,1,10,11684
216,Colletotrichum_graminicola,2,26,10,11,1,8,12019
947,Verticillium_alfalfae,1,20,10,10,1,8,10233
359,Fusarium_oxysporum,4,27,10,17,1,7,16631
101,Atta_colombica,5,29,10,8,3,5,14143
714,Pochonia_chlamydosporia,6,24,10,15,1,7,14142
183,Chaetomium_thermophilum,2,21,10,9,1,9,7183
880,Thielavia_terrestris,3,23,10,10,1,9,9760
58,Aphanomyces_astaci,0,43,13,14,5,12,19020
568,Neurospora_crassa,3,24,10,10,1,8,9759
847,Sugiyamaella_lignohabitans,1,13,10,7,1,10,4518
519,Metschnikowia_bicuspidata,0,20,9,9,1,8,5826
483,Lodderomyces_elongisporus,0,19,12,9,1,8,5779
167,Candida_tropicalis,0,19,10,9,1,8,6226
158,Candida_albicans,1,20,10,9,1,8,6035
818,Spathaspora_passalidarum,2,20,10,9,1,7,5973
447,Kuraishia_capsulata,2,20,10,8,1,10,6027
686,Pichia_kudriavzevii,0,24,13,11,2,8,6873
582,Ogataea_parapolymorpha,2,21,10,9,1,9,5338
866,Tetrapisispora_blattae,1,20,10,10,1,10,5385
867,Tetrapisispora_phaffii,1,17,11,13,1,10,5238
439,Kazachstania_africana,1,18,11,11,1,10,5354
460,Lachancea_thermotolerans,0,20,10,9,1,10,5093
457,Lachancea_lanzarotensis,0,20,10,9,1,11,5055
444,Kluyveromyces_marxianus,1,18,10,9,1,10,4925
443,Kluyveromyces_lactis,2,19,10,9,1,10,5071
