Name	treepos	Nprot	Median	Mean	Std	Q1	Q3	Min	Max	Sum
Heterocephalus_glaber	1	20789	1539.12	2767.02	3519.38	576.9	3514.73	0.0	106670.92	57523477.2
Bos_taurus	2	21741	1787.36	3134.71	3785.64	746.88	3961.77	0.0	51718.31	68151772.4
Sus_scrofa	3	23148	1737.59	3133.53	3761.23	665.91	4146.99	0.0	52388.63	72534892.12
Pongo_abelii	4	21591	1493.13	2643.34	3444.6	564.02	3255.08	0.0	64032.77	57072362.74
Loxodonta_africana	5	19668	1944.16	3420.61	3841.59	803.64	4787.25	0.0	65324.0	67276460.06
Balaenoptera_acutorostrata	6	16371	1623.33	2792.67	3531.2	651.34	3432.49	0.0	35658.74	45718741.63
Delphinapterus_leucas	7	17290	1710.28	2933.82	3742.68	700.18	3562.76	0.0	66636.43	50725705.49
Tursiops_truncatus	8	17718	1498.21	2598.96	3419.05	586.21	3182.53	0.0	66936.9	46048443.33
Cavia_porcellus	9	18193	1842.1	3215.6	3861.12	768.24	4112.51	0.0	54317.88	58501460.83
Oryctolagus_cuniculus	10	19587	1737.93	3113.13	3809.52	700.82	3948.61	0.0	44721.86	60976824.9
Felis_catus	11	19510	1725.3	3040.54	3770.08	684.6	3799.42	0.0	66335.92	59320943.4
Ailuropoda_melanoleuca	12	18327	1729.48	3045.0	3698.84	696.48	3889.5	0.0	65882.27	55805801.58
Canis_lupus	13	19952	1667.96	2982.39	3823.19	638.47	3684.42	0.0	66754.32	59504656.29
Homo_sapiens	14	20868	1680.64	2954.64	3766.44	677.24	3629.58	0.0	67409.41	61657447.72
Pan_troglodytes	15	18709	1632.72	2870.72	3662.84	643.08	3565.92	0.0	66497.54	53708218.33
Pan_paniscus	16	20759	1524.7	2746.42	3640.41	581.53	3302.81	0.0	66951.05	57013006.4
Papio_anubis	17	21445	1527.48	2704.1	3598.53	592.8	3263.15	0.0	59241.8	57989462.8
Macaca_mulatta	18	21163	1500.63	2707.53	3621.06	575.21	3268.87	0.0	67927.97	57299411.24
Macaca_fascicularis	19	16613	1553.61	2765.4	3546.25	594.15	3405.96	0.0	67186.99	45941647.08
Macaca_nemestrina	20	20994	1551.39	2733.92	3617.97	608.28	3303.14	0.0	67577.98	57395897.28
Mandrillus_leucophaeus	21	20672	1487.87	2659.61	3561.95	573.68	3222.1	0.0	67038.93	54979497.77
Cercocebus_atys	22	20861	1554.59	2759.56	3646.51	606.55	3338.36	0.0	55754.98	57567177.81
Pteropus_alecto	23	18849	1474.72	2665.02	3513.87	510.27	3297.59	0.0	53545.58	50232906.97
Nomascus_leucogenys	24	17572	1594.64	2771.97	3520.87	629.24	3394.21	0.0	67452.12	48709067.94
Aotus_nancymaae	25	20227	1567.2	2714.23	3592.23	610.15	3286.65	0.0	68421.14	54900824.98
Ursus_maritimus	26	16959	1795.79	3110.47	3601.85	734.08	4042.81	0.0	43249.66	52750440.69
Rattus_norvegicus	27	21490	1780.6	3209.14	3873.09	701.39	4144.22	0.0	57855.37	68964515.46
Mus_musculus	28	22056	1815.56	3297.85	3985.71	729.4	4250.25	0.0	61317.2	72737387.71
Meleagris_gallopavo	29	13182	1696.21	2934.28	3687.67	695.24	3607.17	0.0	43441.38	38679648.01
Gallus_gallus	30	19094	1617.4	2828.28	3626.87	616.65	3479.17	0.0	54276.96	54003157.8
Anas_platyrhynchos	31	14100	1520.75	2791.86	3671.94	541.85	3390.93	0.0	46673.32	39365205.2
Manacus_vitellinus	32	12681	1322.48	2433.41	3328.89	443.46	2968.66	0.0	64283.18	30858048.76
Anolis_carolinensis	33	18461	1629.71	2878.72	3687.87	643.42	3550.54	0.0	65625.13	53144041.4
Alligator_mississippiensis	34	24337	1165.01	2303.04	3394.21	359.62	2736.44	0.0	58795.16	56049058.98
Alligator_sinensis	35	17513	1804.37	3106.09	3717.04	746.28	3949.51	0.0	59310.97	54396927.75
Xenopus_tropicalis	36	23806	1616.54	3099.1	4015.46	588.05	3744.02	0.0	64306.0	73777254.06
Nothobranchius_furzeri	37	26141	1437.04	2548.35	3376.65	545.22	3088.16	0.0	59493.86	66616309.17
Oryzias_latipes	38	23614	1863.51	3071.06	3659.53	811.37	3865.11	0.0	60893.74	72519997.65
Salmo_salar	39	47402	1584.06	2742.93	3537.33	593.41	3386.86	0.0	64189.05	130020553.75
Oncorhynchus_mykiss	40	44000	1255.99	2110.34	2759.65	450.98	2624.14	0.0	63044.14	92854802.99
Oreochromis_niloticus	41	21206	1974.23	3284.71	3934.6	888.35	4084.56	0.0	61128.4	69655464.09
Astyanax_mexicanus	42	26649	1797.38	3005.76	3674.29	747.63	3711.67	0.0	55835.07	80100406.93
Taeniopygia_guttata	43	17234	1328.66	2532.34	3512.94	408.0	3093.59	0.0	68898.9	43642385.67
Branchiostoma_floridae	44	28355	1419.82	2551.05	3498.22	454.97	3152.22	0.0	53126.59	72335083.53
