"","Ajellomyces_dermatitidis","Paracoccidioides_lutzii","Talaromyces_stipitatus","Aspergillus_terreus","Aspergillus_oryzae","Aspergillus_niger","Penicillium_digitatum","Fonsecaea_erecta","Endocarpon_pusillum","Marssonina_brunnea","Diplodia_corticola","Leptosphaeria_maculans","Setosphaeria_turcica","Selaginella_moellendorffii","Zymoseptoria_tritici","Pseudocercospora_fijiensis","Grosmannia_clavigera","Eutypa_lata","Colletotrichum_graminicola","Verticillium_alfalfae","Fusarium_oxysporum","Atta_colombica","Pochonia_chlamydosporia","Chaetomium_thermophilum","Thielavia_terrestris","Aphanomyces_astaci","Neurospora_crassa","Sugiyamaella_lignohabitans","Metschnikowia_bicuspidata","Lodderomyces_elongisporus","Candida_tropicalis","Candida_albicans","Spathaspora_passalidarum","Kuraishia_capsulata","Pichia_kudriavzevii","Ogataea_parapolymorpha","Tetrapisispora_blattae","Tetrapisispora_phaffii","Kazachstania_africana","Lachancea_thermotolerans","Lachancea_lanzarotensis","Kluyveromyces_marxianus","Kluyveromyces_lactis","Eremothecium_cymbalariae","Kazachstania_naganishii","Candida_glabrata","Vanderwaltozyma_polyspora","Zygosaccharomyces_rouxii","Torulaspora_delbrueckii","Naumovozyma_dairenensis","Drosophila_ficusphila","Saccharomyces_cerevisiae","Saccharomyces_paradoxus","Saccharomyces_bayanus","Saccharomyces_mikatae","Naumovozyma_castellii","Pneumocystis_murina","Pneumocystis_jirovecii","Lobosporangium_transversale","Emiliania_huxleyi","Capsaspora_owczarzaki","Salpingoeca_rosetta","Cryptosporidium_muris","Eimeria_tenella","Trypanosoma_brucei","Babesia_microti","Babesia_bovis","Babesia_bigemina","Babesia_equi","Theileria_orientalis","Theileria_parva","Theileria_annulata","Plasmodium_yoelii","Plasmodium_berghei","Amphimedon_queenslandica","Malassezia_pachydermatis","Malassezia_globosa","Kalmanozyma_brasiliensis","Ustilago_maydis","Mixia_osmundae","Cryptococcus_neoformans","Cryptococcus_gattii","Trichosporon_asahii","Heterobasidion_irregulare","Gloeophyllum_trabeum","Dichomitus_squalens","Coniophora_puteana","Serpula_lacrymans","Helobdella_robusta","Phycomyces_blakesleeanus","Dictyostelium_discoideum","Phytophthora_sojae","Phaeodactylum_tricornutum","Strongylocentrotus_purpuratus","Crassostrea_gigas","Caenorhabditis_elegans","Loa_loa","Tinamus_guttatus","Camponotus_floridanus","Trachymyrmex_zeteki","Trachymyrmex_cornetzi","Papilio_machaon","Dufourea_novaeangliae","Drosophila_mojavensis","Drosophila_melanogaster","Anopheles_gambiae","Oryza_brachyantha","Branchiostoma_floridae","Taeniopygia_guttata","Nothobranchius_furzeri","Xiphophorus_maculatus","Oreochromis_niloticus","Gallus_gallus","Anas_platyrhynchos","Alligator_sinensis","Monodelphis_domestica","Macaca_mulatta","Ailuropoda_melanoleuca","Gorilla_gorilla","Equus_caballus","Cavia_porcellus","Canis_lupus","Erinaceus_europaeus","Heterocephalus_glaber","Tupaia_chinensis","Pan_troglodytes","Oryctolagus_cuniculus","Nomascus_leucogenys","Myotis_lucifugus","Mus_musculus","Coccomyxa_subellipsoidea","Chlorella_variabilis","Micromonas_pusilla","Micromonas_commoda","Ostreococcus_tauri","Ostreococcus_lucimarinus","Glycine_max","Cajanus_cajan","Phaseolus_vulgaris","Habropoda_laboriosa","Eutrema_salsugineum","Brassica_rapa","Brassica_napus","Arabidopsis_thaliana","Arabidopsis_lyrata","Daucus_carota","Agrilus_planipennis","Spinacia_oleracea","Larimichthys_crocea","Capsicum_annuum","Solanum_tuberosum","Solanum_lycopersicum","Prunus_persica","Zea_mays","Musa_acuminata","Gossypium_raimondii","Gossypium_arboreum","Cucumis_sativus","Populus_trichocarpa","Citrus_sinensis","Citrus_clementina","Morus_notabilis"
"Ajellomyces_dermatitidis",0,0.003405,0.022791,0.030889,0.03049,0.031079,0.031361,0.058544,0.055514,0.047301,0.060879,0.228435,0.089694,0.046872,0.052965,0.065171,0.091907,0.099292,0.103089,0.121651,0.098523,0.116489,0.098277,0.095219,0.090432,0.160197,0.097785,0.06353,0.125432,0.087047,0.084934,0.084007,0.088976,0.107996,0.134926,0.096783,0.098814,0.09593,0.091199,0.097176,0.097353,0.101172,0.101961,0.098767,0.093329,0.096621,0.093859,0.096549,0.092829,0.091255,0.094332,0.095723,0.095751,0.095741,0.095747,0.092794,0.087887,0.092131,0.093414,0.163597,0.145384,0.265873,0.165322,0.229961,0.926046,0.190561,0.299187,0.239676,0.209999,0.209587,0.209279,0.210822,0.36719,0.364419,0.191856,0.151559,0.161484,0.191908,0.190437,0.215942,0.145377,0.14616,0.134753,0.112387,0.116267,0.119704,0.12637,0.130017,0.24993,0.249924,0.500998,0.191068,0.163553,0.261963,0.323941,0.687805,0.437042,0.438207,0.303245,0.303071,0.324553,0.359819,0.465481,0.498581,0.465512,0.628002,0.438784,0.330697,0.330293,0.337821,0.341003,0.335174,0.344757,0.352313,0.350538,0.34285,0.35225,0.352247,0.421061,0.355374,0.354505,0.352244,0.442318,0.617962,0.438634,0.353055,0.352253,0.352247,0.353456,0.357385,0.175667,0.200076,0.156226,0.156594,0.149764,0.148919,0.159754,0.170991,0.165676,0.159636,0.172039,0.19078,0.214965,0.172171,0.172102,0.171065,0.176485,0.177491,0.175763,0.175769,0.253152,0.259178,0.169006,0.185914,0.187453,0.170738,0.177853,0.174055,0.185036,0.175397,0.171128,0.169012
"Paracoccidioides_lutzii",0.003405,0,0.023842,0.03194,0.031541,0.03213,0.032412,0.059595,0.056565,0.048352,0.06193,0.229486,0.090745,0.047923,0.054016,0.066222,0.092958,0.100343,0.10414,0.122702,0.099574,0.11754,0.099328,0.09627,0.091483,0.161248,0.098836,0.064581,0.126483,0.088098,0.085985,0.085058,0.090027,0.109047,0.135977,0.097834,0.099865,0.096981,0.09225,0.098227,0.098404,0.102223,0.103012,0.099818,0.09438,0.097672,0.09491,0.0976,0.09388,0.092306,0.095383,0.096774,0.096802,0.096792,0.096798,0.093845,0.088938,0.093182,0.094465,0.164648,0.146435,0.266924,0.166373,0.231012,0.927097,0.191612,0.300238,0.240727,0.21105,0.210638,0.21033,0.211873,0.368241,0.36547,0.192907,0.15261,0.162535,0.192959,0.191488,0.216993,0.146428,0.147211,0.135804,0.113438,0.117318,0.120755,0.127421,0.131068,0.250981,0.250975,0.502049,0.192119,0.164604,0.263014,0.324992,0.688856,0.438093,0.439258,0.304296,0.304122,0.325604,0.36087,0.466532,0.499632,0.466563,0.629053,0.439835,0.331748,0.331344,0.338872,0.342054,0.336225,0.345808,0.353364,0.351589,0.343901,0.353301,0.353298,0.422112,0.356425,0.355556,0.353295,0.443369,0.619013,0.439685,0.354106,0.353304,0.353298,0.354507,0.358436,0.176718,0.201127,0.157277,0.157645,0.150815,0.14997,0.160805,0.172042,0.166727,0.160687,0.17309,0.191831,0.216016,0.173222,0.173153,0.172116,0.177536,0.178542,0.176814,0.17682,0.254203,0.260229,0.170057,0.186965,0.188504,0.171789,0.178904,0.175106,0.186087,0.176448,0.172179,0.170063
"Talaromyces_stipitatus",0.022791,0.023842,0,0.019512,0.019113,0.019702,0.019984,0.070269,0.067239,0.059026,0.072604,0.24016,0.101419,0.058597,0.06469,0.076896,0.103632,0.111017,0.114814,0.133376,0.110248,0.128214,0.110002,0.106944,0.102157,0.171922,0.10951,0.075255,0.137157,0.098772,0.096659,0.095732,0.100701,0.119721,0.146651,0.108508,0.110539,0.107655,0.102924,0.108901,0.109078,0.112897,0.113686,0.110492,0.105054,0.108346,0.105584,0.108274,0.104554,0.10298,0.106057,0.107448,0.107476,0.107466,0.107472,0.104519,0.099612,0.103856,0.105139,0.175322,0.157109,0.277598,0.177047,0.241686,0.937771,0.202286,0.310912,0.251401,0.221724,0.221312,0.221004,0.222547,0.378915,0.376144,0.203581,0.163284,0.173209,0.203633,0.202162,0.227667,0.157102,0.157885,0.146478,0.124112,0.127992,0.131429,0.138095,0.141742,0.261655,0.261649,0.512723,0.202793,0.175278,0.273688,0.335666,0.69953,0.448767,0.449932,0.31497,0.314796,0.336278,0.371544,0.477206,0.510306,0.477237,0.639727,0.450509,0.342422,0.342018,0.349546,0.352728,0.346899,0.356482,0.364038,0.362263,0.354575,0.363975,0.363972,0.432786,0.367099,0.36623,0.363969,0.454043,0.629687,0.450359,0.36478,0.363978,0.363972,0.365181,0.36911,0.187392,0.211801,0.167951,0.168319,0.161489,0.160644,0.171479,0.182716,0.177401,0.171361,0.183764,0.202505,0.22669,0.183896,0.183827,0.18279,0.18821,0.189216,0.187488,0.187494,0.264877,0.270903,0.180731,0.197639,0.199178,0.182463,0.189578,0.18578,0.196761,0.187122,0.182853,0.180737
"Aspergillus_terreus",0.030889,0.03194,0.019512,0,0.003931,0.009262,0.01927,0.078367,0.075337,0.067124,0.080702,0.248258,0.109517,0.066695,0.072788,0.084994,0.11173,0.119115,0.122912,0.141474,0.118346,0.136312,0.1181,0.115042,0.110255,0.18002,0.117608,0.083353,0.145255,0.10687,0.104757,0.10383,0.108799,0.127819,0.154749,0.116606,0.118637,0.115753,0.111022,0.116999,0.117176,0.120995,0.121784,0.11859,0.113152,0.116444,0.113682,0.116372,0.112652,0.111078,0.114155,0.115546,0.115574,0.115564,0.11557,0.112617,0.10771,0.111954,0.113237,0.18342,0.165207,0.285696,0.185145,0.249784,0.945869,0.210384,0.31901,0.259499,0.229822,0.22941,0.229102,0.230645,0.387013,0.384242,0.211679,0.171382,0.181307,0.211731,0.21026,0.235765,0.1652,0.165983,0.154576,0.13221,0.13609,0.139527,0.146193,0.14984,0.269753,0.269747,0.520821,0.210891,0.183376,0.281786,0.343764,0.707628,0.456865,0.45803,0.323068,0.322894,0.344376,0.379642,0.485304,0.518404,0.485335,0.647825,0.458607,0.35052,0.350116,0.357644,0.360826,0.354997,0.36458,0.372136,0.370361,0.362673,0.372073,0.37207,0.440884,0.375197,0.374328,0.372067,0.462141,0.637785,0.458457,0.372878,0.372076,0.37207,0.373279,0.377208,0.19549,0.219899,0.176049,0.176417,0.169587,0.168742,0.179577,0.190814,0.185499,0.179459,0.191862,0.210603,0.234788,0.191994,0.191925,0.190888,0.196308,0.197314,0.195586,0.195592,0.272975,0.279001,0.188829,0.205737,0.207276,0.190561,0.197676,0.193878,0.204859,0.19522,0.190951,0.188835
"Aspergillus_oryzae",0.03049,0.031541,0.019113,0.003931,0,0.008863,0.018871,0.077968,0.074938,0.066725,0.080303,0.247859,0.109118,0.066296,0.072389,0.084595,0.111331,0.118716,0.122513,0.141075,0.117947,0.135913,0.117701,0.114643,0.109856,0.179621,0.117209,0.082954,0.144856,0.106471,0.104358,0.103431,0.1084,0.12742,0.15435,0.116207,0.118238,0.115354,0.110623,0.1166,0.116777,0.120596,0.121385,0.118191,0.112753,0.116045,0.113283,0.115973,0.112253,0.110679,0.113756,0.115147,0.115175,0.115165,0.115171,0.112218,0.107311,0.111555,0.112838,0.183021,0.164808,0.285297,0.184746,0.249385,0.94547,0.209985,0.318611,0.2591,0.229423,0.229011,0.228703,0.230246,0.386614,0.383843,0.21128,0.170983,0.180908,0.211332,0.209861,0.235366,0.164801,0.165584,0.154177,0.131811,0.135691,0.139128,0.145794,0.149441,0.269354,0.269348,0.520422,0.210492,0.182977,0.281387,0.343365,0.707229,0.456466,0.457631,0.322669,0.322495,0.343977,0.379243,0.484905,0.518005,0.484936,0.647426,0.458208,0.350121,0.349717,0.357245,0.360427,0.354598,0.364181,0.371737,0.369962,0.362274,0.371674,0.371671,0.440485,0.374798,0.373929,0.371668,0.461742,0.637386,0.458058,0.372479,0.371677,0.371671,0.37288,0.376809,0.195091,0.2195,0.17565,0.176018,0.169188,0.168343,0.179178,0.190415,0.1851,0.17906,0.191463,0.210204,0.234389,0.191595,0.191526,0.190489,0.195909,0.196915,0.195187,0.195193,0.272576,0.278602,0.18843,0.205338,0.206877,0.190162,0.197277,0.193479,0.20446,0.194821,0.190552,0.188436
"Aspergillus_niger",0.031079,0.03213,0.019702,0.009262,0.008863,0,0.01946,0.078557,0.075527,0.067314,0.080892,0.248448,0.109707,0.066885,0.072978,0.085184,0.11192,0.119305,0.123102,0.141664,0.118536,0.136502,0.11829,0.115232,0.110445,0.18021,0.117798,0.083543,0.145445,0.10706,0.104947,0.10402,0.108989,0.128009,0.154939,0.116796,0.118827,0.115943,0.111212,0.117189,0.117366,0.121185,0.121974,0.11878,0.113342,0.116634,0.113872,0.116562,0.112842,0.111268,0.114345,0.115736,0.115764,0.115754,0.11576,0.112807,0.1079,0.112144,0.113427,0.18361,0.165397,0.285886,0.185335,0.249974,0.946059,0.210574,0.3192,0.259689,0.230012,0.2296,0.229292,0.230835,0.387203,0.384432,0.211869,0.171572,0.181497,0.211921,0.21045,0.235955,0.16539,0.166173,0.154766,0.1324,0.13628,0.139717,0.146383,0.15003,0.269943,0.269937,0.521011,0.211081,0.183566,0.281976,0.343954,0.707818,0.457055,0.45822,0.323258,0.323084,0.344566,0.379832,0.485494,0.518594,0.485525,0.648015,0.458797,0.35071,0.350306,0.357834,0.361016,0.355187,0.36477,0.372326,0.370551,0.362863,0.372263,0.37226,0.441074,0.375387,0.374518,0.372257,0.462331,0.637975,0.458647,0.373068,0.372266,0.37226,0.373469,0.377398,0.19568,0.220089,0.176239,0.176607,0.169777,0.168932,0.179767,0.191004,0.185689,0.179649,0.192052,0.210793,0.234978,0.192184,0.192115,0.191078,0.196498,0.197504,0.195776,0.195782,0.273165,0.279191,0.189019,0.205927,0.207466,0.190751,0.197866,0.194068,0.205049,0.19541,0.191141,0.189025
"Penicillium_digitatum",0.031361,0.032412,0.019984,0.01927,0.018871,0.01946,0,0.078839,0.075809,0.067596,0.081174,0.24873,0.109989,0.067167,0.07326,0.085466,0.112202,0.119587,0.123384,0.141946,0.118818,0.136784,0.118572,0.115514,0.110727,0.180492,0.11808,0.083825,0.145727,0.107342,0.105229,0.104302,0.109271,0.128291,0.155221,0.117078,0.119109,0.116225,0.111494,0.117471,0.117648,0.121467,0.122256,0.119062,0.113624,0.116916,0.114154,0.116844,0.113124,0.11155,0.114627,0.116018,0.116046,0.116036,0.116042,0.113089,0.108182,0.112426,0.113709,0.183892,0.165679,0.286168,0.185617,0.250256,0.946341,0.210856,0.319482,0.259971,0.230294,0.229882,0.229574,0.231117,0.387485,0.384714,0.212151,0.171854,0.181779,0.212203,0.210732,0.236237,0.165672,0.166455,0.155048,0.132682,0.136562,0.139999,0.146665,0.150312,0.270225,0.270219,0.521293,0.211363,0.183848,0.282258,0.344236,0.7081,0.457337,0.458502,0.32354,0.323366,0.344848,0.380114,0.485776,0.518876,0.485807,0.648297,0.459079,0.350992,0.350588,0.358116,0.361298,0.355469,0.365052,0.372608,0.370833,0.363145,0.372545,0.372542,0.441356,0.375669,0.3748,0.372539,0.462613,0.638257,0.458929,0.37335,0.372548,0.372542,0.373751,0.37768,0.195962,0.220371,0.176521,0.176889,0.170059,0.169214,0.180049,0.191286,0.185971,0.179931,0.192334,0.211075,0.23526,0.192466,0.192397,0.19136,0.19678,0.197786,0.196058,0.196064,0.273447,0.279473,0.189301,0.206209,0.207748,0.191033,0.198148,0.19435,0.205331,0.195692,0.191423,0.189307
"Fonsecaea_erecta",0.058544,0.059595,0.070269,0.078367,0.077968,0.078557,0.078839,0,0.039334,0.053513,0.067091,0.234647,0.095906,0.053084,0.059177,0.071383,0.098119,0.105504,0.109301,0.127863,0.104735,0.122701,0.104489,0.101431,0.096644,0.166409,0.103997,0.069742,0.131644,0.093259,0.091146,0.090219,0.095188,0.114208,0.141138,0.102995,0.105026,0.102142,0.097411,0.103388,0.103565,0.107384,0.108173,0.104979,0.099541,0.102833,0.100071,0.102761,0.099041,0.097467,0.100544,0.101935,0.101963,0.101953,0.101959,0.099006,0.094099,0.098343,0.099626,0.169809,0.151596,0.272085,0.171534,0.236173,0.932258,0.196773,0.305399,0.245888,0.216211,0.215799,0.215491,0.217034,0.373402,0.370631,0.198068,0.157771,0.167696,0.19812,0.196649,0.222154,0.151589,0.152372,0.140965,0.118599,0.122479,0.125916,0.132582,0.136229,0.256142,0.256136,0.50721,0.19728,0.169765,0.268175,0.330153,0.694017,0.443254,0.444419,0.309457,0.309283,0.330765,0.366031,0.471693,0.504793,0.471724,0.634214,0.444996,0.336909,0.336505,0.344033,0.347215,0.341386,0.350969,0.358525,0.35675,0.349062,0.358462,0.358459,0.427273,0.361586,0.360717,0.358456,0.44853,0.624174,0.444846,0.359267,0.358465,0.358459,0.359668,0.363597,0.181879,0.206288,0.162438,0.162806,0.155976,0.155131,0.165966,0.177203,0.171888,0.165848,0.178251,0.196992,0.221177,0.178383,0.178314,0.177277,0.182697,0.183703,0.181975,0.181981,0.259364,0.26539,0.175218,0.192126,0.193665,0.17695,0.184065,0.180267,0.191248,0.181609,0.17734,0.175224
"Endocarpon_pusillum",0.055514,0.056565,0.067239,0.075337,0.074938,0.075527,0.075809,0.039334,0,0.050483,0.064061,0.231617,0.092876,0.050054,0.056147,0.068353,0.095089,0.102474,0.106271,0.124833,0.101705,0.119671,0.101459,0.098401,0.093614,0.163379,0.100967,0.066712,0.128614,0.090229,0.088116,0.087189,0.092158,0.111178,0.138108,0.099965,0.101996,0.099112,0.094381,0.100358,0.100535,0.104354,0.105143,0.101949,0.096511,0.099803,0.097041,0.099731,0.096011,0.094437,0.097514,0.098905,0.098933,0.098923,0.098929,0.095976,0.091069,0.095313,0.096596,0.166779,0.148566,0.269055,0.168504,0.233143,0.929228,0.193743,0.302369,0.242858,0.213181,0.212769,0.212461,0.214004,0.370372,0.367601,0.195038,0.154741,0.164666,0.19509,0.193619,0.219124,0.148559,0.149342,0.137935,0.115569,0.119449,0.122886,0.129552,0.133199,0.253112,0.253106,0.50418,0.19425,0.166735,0.265145,0.327123,0.690987,0.440224,0.441389,0.306427,0.306253,0.327735,0.363001,0.468663,0.501763,0.468694,0.631184,0.441966,0.333879,0.333475,0.341003,0.344185,0.338356,0.347939,0.355495,0.35372,0.346032,0.355432,0.355429,0.424243,0.358556,0.357687,0.355426,0.4455,0.621144,0.441816,0.356237,0.355435,0.355429,0.356638,0.360567,0.178849,0.203258,0.159408,0.159776,0.152946,0.152101,0.162936,0.174173,0.168858,0.162818,0.175221,0.193962,0.218147,0.175353,0.175284,0.174247,0.179667,0.180673,0.178945,0.178951,0.256334,0.26236,0.172188,0.189096,0.190635,0.17392,0.181035,0.177237,0.188218,0.178579,0.17431,0.172194
"Marssonina_brunnea",0.047301,0.048352,0.059026,0.067124,0.066725,0.067314,0.067596,0.053513,0.050483,0,0.040468,0.208024,0.069283,0.026461,0.032554,0.04476,0.071496,0.078881,0.082678,0.10124,0.078112,0.096078,0.077866,0.074808,0.070021,0.139786,0.077374,0.043119,0.105021,0.066636,0.064523,0.063596,0.068565,0.087585,0.114515,0.076372,0.078403,0.075519,0.070788,0.076765,0.076942,0.080761,0.08155,0.078356,0.072918,0.07621,0.073448,0.076138,0.072418,0.070844,0.073921,0.075312,0.07534,0.07533,0.075336,0.072383,0.067476,0.07172,0.073003,0.143186,0.124973,0.245462,0.144911,0.20955,0.905635,0.17015,0.278776,0.219265,0.189588,0.189176,0.188868,0.190411,0.346779,0.344008,0.171445,0.131148,0.141073,0.171497,0.170026,0.195531,0.124966,0.125749,0.114342,0.091976,0.095856,0.099293,0.105959,0.109606,0.229519,0.229513,0.480587,0.170657,0.143142,0.241552,0.30353,0.667394,0.416631,0.417796,0.282834,0.28266,0.304142,0.339408,0.44507,0.47817,0.445101,0.607591,0.418373,0.310286,0.309882,0.31741,0.320592,0.314763,0.324346,0.331902,0.330127,0.322439,0.331839,0.331836,0.40065,0.334963,0.334094,0.331833,0.421907,0.597551,0.418223,0.332644,0.331842,0.331836,0.333045,0.336974,0.155256,0.179665,0.135815,0.136183,0.129353,0.128508,0.139343,0.15058,0.145265,0.139225,0.151628,0.170369,0.194554,0.15176,0.151691,0.150654,0.156074,0.15708,0.155352,0.155358,0.232741,0.238767,0.148595,0.165503,0.167042,0.150327,0.157442,0.153644,0.164625,0.154986,0.150717,0.148601
