Name	treepos	Nprot	Median	Mean	Std	Q1	Q3	Min	Max	Sum
Heterocephalus_glaber	1	21445	0.12	0.21	0.24	0.02	0.34	0.0	1.0	4544.47
Bos_taurus	2	22005	0.11	0.21	0.24	0.02	0.33	0.0	1.0	4522.7
Sus_scrofa	3	23229	0.1	0.2	0.24	0.01	0.32	0.0	1.0	4726.94
Pongo_abelii	4	21999	0.12	0.22	0.25	0.02	0.35	0.0	1.0	4858.95
Loxodonta_africana	5	20020	0.09	0.19	0.23	0.01	0.3	0.0	1.0	3803.32
Balaenoptera_acutorostrata	6	18307	0.15	0.23	0.24	0.04	0.37	0.0	1.0	4248.93
Delphinapterus_leucas	7	18472	0.16	0.24	0.24	0.04	0.38	0.0	1.0	4445.87
Tursiops_truncatus	8	18888	0.15	0.23	0.24	0.04	0.37	0.0	1.0	4374.95
Cavia_porcellus	9	18254	0.1	0.2	0.23	0.02	0.31	0.0	1.0	3595.1
Oryctolagus_cuniculus	10	19904	0.12	0.21	0.24	0.02	0.33	0.0	1.0	4197.58
Felis_catus	11	19515	0.13	0.22	0.24	0.02	0.34	0.0	1.0	4207.38
Ailuropoda_melanoleuca	12	19344	0.12	0.21	0.24	0.02	0.34	0.0	1.0	4111.08
Canis_lupus	13	20271	0.14	0.24	0.26	0.03	0.37	0.0	1.0	4824.32
Homo_sapiens	14	21074	0.13	0.22	0.24	0.02	0.36	0.0	1.0	4679.27
Pan_troglodytes	15	23008	0.13	0.22	0.24	0.03	0.35	0.0	1.0	5056.29
Pan_paniscus	16	21221	0.12	0.21	0.24	0.02	0.34	0.0	1.0	4552.79
Papio_anubis	17	21568	0.13	0.22	0.24	0.03	0.34	0.0	1.0	4686.57
Macaca_mulatta	18	21211	0.12	0.22	0.24	0.02	0.34	0.0	1.0	4589.32
Macaca_fascicularis	19	17395	0.11	0.21	0.24	0.02	0.32	0.0	1.0	3607.47
Macaca_nemestrina	20	21022	0.13	0.22	0.24	0.03	0.34	0.0	1.0	4580.16
Mandrillus_leucophaeus	21	20780	0.12	0.21	0.24	0.02	0.33	0.0	1.0	4385.56
Cercocebus_atys	22	20883	0.13	0.22	0.24	0.03	0.35	0.0	1.0	4571.69
Pteropus_alecto	23	19520	0.15	0.24	0.26	0.04	0.39	0.0	1.0	4767.35
Nomascus_leucogenys	24	20762	0.12	0.22	0.24	0.03	0.34	0.0	1.0	4512.5
Aotus_nancymaae	25	20372	0.13	0.22	0.24	0.03	0.35	0.0	1.0	4466.46
Ursus_maritimus	26	19366	0.12	0.21	0.23	0.02	0.33	0.0	1.0	4003.51
Rattus_norvegicus	27	21662	0.1	0.21	0.24	0.01	0.33	0.0	1.0	4442.72
Mus_musculus	28	22286	0.1	0.2	0.24	0.01	0.32	0.0	1.0	4467.06
Meleagris_gallopavo	29	14166	0.08	0.18	0.22	0.01	0.27	0.0	1.0	2553.61
Gallus_gallus	30	19120	0.12	0.21	0.24	0.02	0.33	0.0	1.0	4043.01
Anas_platyrhynchos	31	15659	0.08	0.19	0.23	0.01	0.28	0.0	1.0	2918.43
Manacus_vitellinus	32	12707	0.07	0.18	0.23	0.01	0.26	0.0	1.0	2239.66
Anolis_carolinensis	33	18528	0.09	0.19	0.23	0.02	0.28	0.0	1.0	3456.28
Alligator_mississippiensis	34	24656	0.11	0.21	0.24	0.02	0.32	0.0	1.0	5085.18
Alligator_sinensis	35	18578	0.1	0.19	0.22	0.02	0.3	0.0	1.0	3587.03
Xenopus_tropicalis	36	24182	0.07	0.18	0.24	0.01	0.26	0.0	1.0	4299.63
