Name	Hsp20	Hsp40	Hsp60	Hsp70	Hsp90	Hsp100
Heterocephalus_glaber	7	56	28	40	15	7
Bos_taurus	10	48	22	16	6	13
Sus_scrofa	8	44	20	18	7	10
Pongo_abelii	8	51	25	23	15	15
Loxodonta_africana	8	43	17	13	5	9
Balaenoptera_acutorostrata	8	43	16	18	5	11
Delphinapterus_leucas	8	41	15	14	4	11
Tursiops_truncatus	4	45	15	16	4	12
Cavia_porcellus	9	45	16	17	5	9
Oryctolagus_cuniculus	12	44	15	15	10	10
Felis_catus	8	42	17	18	5	9
Ailuropoda_melanoleuca	9	40	18	15	7	10
Canis_lupus	10	50	21	17	5	11
Homo_sapiens	10	45	16	16	11	12
Pan_troglodytes	9	49	27	22	12	10
Pan_paniscus	8	46	25	20	11	10
Papio_anubis	8	47	26	23	12	12
Macaca_mulatta	8	50	26	21	8	11
Macaca_fascicularis	6	37	14	13	4	9
Macaca_nemestrina	8	46	24	21	10	10
Mandrillus_leucophaeus	7	45	26	19	11	12
Cercocebus_atys	8	52	27	22	9	11
Pteropus_alecto	8	39	21	23	9	8
Nomascus_leucogenys	7	46	20	16	9	10
Aotus_nancymaae	10	49	21	16	12	10
Ursus_maritimus	9	40	15	16	6	9
Rattus_norvegicus	8	44	16	17	5	12
Mus_musculus	9	44	15	14	4	10
Meleagris_gallopavo	7	30	13	12	4	12
Gallus_gallus	12	41	15	17	7	12
Anas_platyrhynchos	9	33	12	12	3	14
Manacus_vitellinus	5	29	11	10	3	11
Anolis_carolinensis	9	44	13	13	5	14
Alligator_mississippiensis	18	42	13	14	4	9
Alligator_sinensis	13	38	14	14	5	10
Xenopus_tropicalis	11	45	13	14	4	14
Nothobranchius_furzeri	10	49	14	15	4	12
Oryzias_latipes	17	51	12	19	4	11
Salmo_salar	27	104	29	38	11	23
Oncorhynchus_mykiss	14	75	23	30	13	18
Oreochromis_niloticus	10	50	13	23	5	11
Astyanax_mexicanus	15	55	13	28	4	14
Taeniopygia_guttata	8	37	15	12	5	13
Branchiostoma_floridae	6	37	13	18	3	9
Strongylocentrotus_purpuratus	3	34	20	40	4	14
Crassostrea_gigas	13	40	14	84	3	6
Cebus_capucinus	8	56	26	19	11	13
Tinamus_guttatus	7	29	10	11	3	12
Loa_loa	18	30	9	6	3	9
Strongyloides_ratti	23	25	10	7	3	7
Brugia_malayi	12	29	10	7	3	11
Caenorhabditis_elegans	16	29	10	11	3	7
Caenorhabditis_remanei	26	31	12	24	5	10
Zootermopsis_nevadensis	4	30	12	8	3	8
Oryza_brachyantha	27	79	28	37	9	21
Capsaspora_owczarzaki	1	27	9	8	3	7
Guillardia_theta	11	82	11	23	6	10
Auxenochlorella_protothecoides	2	42	12	8	3	16
Micromonas_pusilla	4	56	12	10	4	19
Micromonas_commoda	4	62	12	10	4	19
Ostreococcus_tauri	4	51	11	10	4	17
Ostreococcus_sp.	4	48	11	7	4	16
Physcomitrella_patens	26	98	31	35	13	39
Selaginella_moellendorffii	42	98	32	32	10	48
Habropoda_laboriosa	9	27	11	8	4	10
Cicer_arietinum	31	91	23	22	6	28
Cajanus_cajan	35	99	23	40	16	32
Eutrema_salsugineum	21	106	24	21	9	27
Arabidopsis_lyrata	26	100	35	27	17	32
Brassica_napus	38	166	67	52	25	45
Arabidopsis_thaliana	26	102	24	19	8	27
Rosa_chinensis	36	105	30	119	21	36
Prunus_persica	34	86	22	34	8	25
Populus_trichocarpa	53	142	40	35	13	34
Eucalyptus_grandis	45	85	18	18	16	22
Cucumis_sativus	34	79	18	14	6	27
Helianthus_annuus	48	150	46	103	13	62
