Name	treepos	Nprot	Median	Mean	Std	Q1	Q3	Min	Max	Sum
Heterocephalus_glaber	1	21445	-0.36	-0.32	0.48	-0.6	-0.1	-3.63	2.5	-6776.28
Bos_taurus	2	22005	-0.34	-0.31	0.45	-0.58	-0.1	-2.26	1.88	-6732.05
Sus_scrofa	3	23229	-0.33	-0.27	0.48	-0.56	-0.06	-2.77	2.35	-6276.59
Pongo_abelii	4	21999	-0.36	-0.35	0.43	-0.6	-0.13	-3.83	2.64	-7675.05
Loxodonta_africana	5	20020	-0.32	-0.24	0.5	-0.56	-0.04	-3.35	3.05	-4829.75
Balaenoptera_acutorostrata	6	18307	-0.38	-0.37	0.39	-0.6	-0.16	-2.45	1.54	-6710.26
Delphinapterus_leucas	7	18472	-0.38	-0.36	0.39	-0.6	-0.16	-2.41	1.75	-6729.53
Tursiops_truncatus	8	18888	-0.38	-0.37	0.39	-0.61	-0.16	-2.34	1.5	-6990.18
Cavia_porcellus	9	18254	-0.33	-0.29	0.44	-0.56	-0.1	-2.96	2.7	-5381.18
Oryctolagus_cuniculus	10	19904	-0.34	-0.31	0.44	-0.57	-0.1	-2.64	1.68	-6152.65
Felis_catus	11	19515	-0.35	-0.32	0.44	-0.58	-0.12	-2.65	2.61	-6241.81
Ailuropoda_melanoleuca	12	19344	-0.35	-0.32	0.44	-0.59	-0.11	-3.46	1.53	-6157.18
Canis_lupus	13	20271	-0.37	-0.35	0.46	-0.61	-0.13	-3.74	2.4	-7020.14
Homo_sapiens	14	21074	-0.36	-0.34	0.43	-0.6	-0.13	-3.43	2.61	-7179.11
Pan_troglodytes	15	23008	-0.36	-0.34	0.42	-0.6	-0.13	-2.65	2.61	-7899.76
Pan_paniscus	16	21221	-0.36	-0.34	0.42	-0.6	-0.13	-2.65	2.61	-7306.18
Papio_anubis	17	21568	-0.36	-0.35	0.41	-0.6	-0.13	-2.65	2.61	-7460.61
Macaca_mulatta	18	21211	-0.36	-0.35	0.42	-0.6	-0.13	-2.52	2.64	-7319.37
Macaca_fascicularis	19	17395	-0.36	-0.34	0.46	-0.6	-0.13	-4.2	3.11	-5989.27
Macaca_nemestrina	20	21022	-0.36	-0.35	0.41	-0.6	-0.14	-2.65	2.61	-7303.79
Mandrillus_leucophaeus	21	20780	-0.36	-0.35	0.41	-0.6	-0.13	-2.65	2.61	-7219.95
Cercocebus_atys	22	20883	-0.36	-0.35	0.41	-0.6	-0.14	-2.65	2.61	-7310.93
Pteropus_alecto	23	19520	-0.37	-0.35	0.41	-0.6	-0.15	-3.33	2.13	-6807.15
Nomascus_leucogenys	24	20762	-0.37	-0.35	0.41	-0.6	-0.14	-2.65	2.61	-7313.64
Aotus_nancymaae	25	20372	-0.37	-0.36	0.4	-0.6	-0.15	-2.65	2.61	-7394.09
Ursus_maritimus	26	19366	-0.34	-0.29	0.46	-0.58	-0.1	-2.49	2.31	-5696.23
Rattus_norvegicus	27	21662	-0.34	-0.3	0.48	-0.58	-0.08	-3.72	3.14	-6428.52
Mus_musculus	28	22286	-0.33	-0.29	0.48	-0.58	-0.07	-4.39	3.06	-6431.8
Meleagris_gallopavo	29	14166	-0.36	-0.35	0.4	-0.58	-0.14	-2.25	1.74	-4888.35
Gallus_gallus	30	19120	-0.36	-0.35	0.42	-0.58	-0.13	-4.45	3.09	-6636.27
Anas_platyrhynchos	31	15659	-0.36	-0.35	0.44	-0.6	-0.13	-4.01	1.71	-5420.62
Manacus_vitellinus	32	12707	-0.36	-0.35	0.46	-0.6	-0.13	-3.27	2.18	-4463.8
Anolis_carolinensis	33	18528	-0.38	-0.38	0.44	-0.62	-0.16	-3.5	2.15	-7063.16
Alligator_mississippiensis	34	24656	-0.37	-0.35	0.4	-0.6	-0.14	-2.34	2.64	-8732.34
Alligator_sinensis	35	18578	-0.36	-0.33	0.43	-0.59	-0.13	-2.26	1.5	-6050.29
Xenopus_tropicalis	36	24182	-0.34	-0.31	0.45	-0.58	-0.1	-2.54	2.25	-7498.38
Nothobranchius_furzeri	37	26141	-0.38	-0.37	0.4	-0.62	-0.16	-3.42	3.42	-9679.32
Oryzias_latipes	38	23617	-0.35	-0.34	0.4	-0.59	-0.14	-2.74	2.11	-8069.96
Salmo_salar	39	47720	-0.4	-0.39	0.42	-0.65	-0.17	-3.58	2.38	-18671.61
Oncorhynchus_mykiss	40	46447	-0.35	-0.34	0.41	-0.6	-0.11	-2.76	1.92	-15892.46
Oreochromis_niloticus	41	21436	-0.36	-0.35	0.4	-0.59	-0.15	-3.2	2.98	-7408.42
Astyanax_mexicanus	42	26659	-0.35	-0.34	0.43	-0.59	-0.12	-3.73	2.58	-8973.15
Taeniopygia_guttata	43	17429	-0.36	-0.35	0.47	-0.61	-0.12	-4.03	2.94	-6160.12
Branchiostoma_floridae	44	28542	-0.38	-0.38	0.44	-0.62	-0.16	-3.46	2.57	-10839.39
Strongylocentrotus_purpuratus	45	28594	-0.36	-0.35	0.42	-0.58	-0.13	-2.95	2.96	-10065.85
Crassostrea_gigas	46	25982	-0.41	-0.41	0.39	-0.64	-0.19	-2.38	2.05	-10609.19
Cebus_capucinus	47	20237	-0.37	-0.36	0.4	-0.6	-0.15	-2.65	2.61	-7346.39
Tinamus_guttatus	48	13377	-0.38	-0.37	0.48	-0.62	-0.14	-3.86	2.46	-4908.96
Loa_loa	49	12173	-0.38	-0.37	0.53	-0.62	-0.16	-4.25	4.45	-4462.14
Strongyloides_ratti	50	9956	-0.38	-0.38	0.4	-0.61	-0.18	-2.64	1.4	-3749.63
Brugia_malayi	51	10678	-0.33	-0.32	0.44	-0.57	-0.1	-2.95	3.15	-3368.93
Caenorhabditis_elegans	52	20008	-0.3	-0.27	0.48	-0.56	-0.03	-2.84	2.28	-5308.6
Caenorhabditis_remanei	53	31243	-0.34	-0.32	0.46	-0.58	-0.1	-3.39	2.54	-10019.97
Zootermopsis_nevadensis	54	14539	-0.35	-0.34	0.43	-0.61	-0.1	-3.33	3.3	-4954.39
Oryza_brachyantha	55	31989	-0.24	-0.24	0.42	-0.5	-0.01	-4.5	2.85	-7824.2
Capsaspora_owczarzaki	56	8738	-0.21	-0.22	0.34	-0.42	-0.03	-2.01	2.31	-1925.74
Guillardia_theta	57	24567	-0.37	-0.38	0.4	-0.62	-0.15	-3.34	2.31	-9384.28
