Name Age Weight
Heterocephalus_glaber 31 35
Bos_taurus 20 750000
Sus_scrofa 27 130000
Pongo_abelii NA NA
Loxodonta_africana 65 4800000
Balaenoptera_acutorostrata 50 7500000
Delphinapterus_leucas 40 1430000
Tursiops_truncatus 51.6 200000
Cavia_porcellus 12 728
Oryctolagus_cuniculus 9 1800
Felis_catus 30 3900
Ailuropoda_melanoleuca 36.8 117500
Canis_lupus 20.6 26625
Homo_sapiens 122.5 62035
Pan_troglodytes 59.4 44983.5
Pan_paniscus 55 39925
Papio_anubis NA NA
Macaca_mulatta 40 8235
Macaca_fascicularis 39 6362.5
Macaca_nemestrina 37.6 7912.5
Mandrillus_leucophaeus 39 18250
Cercocebus_atys NA NA
Pteropus_alecto 19.7 672.1
Nomascus_leucogenys 44.1 6000
Aotus_nancymaae NA NA
Ursus_maritimus 43.8 475000
Rattus_norvegicus 3.8 300
Mus_musculus 4 20.5
Meleagris_gallopavo 13 6050
Gallus_gallus 30 779.8
Anas_platyrhynchos 29.1 1048.1
Manacus_vitellinus NA NA
Anolis_carolinensis 7.2 NA
Alligator_mississippiensis 77 150000
Alligator_sinensis 65 NA
Xenopus_tropicalis NA NA
Nothobranchius_furzeri 1.1 NA
Oryzias_latipes 5 NA
Salmo_salar 13 25740
Oncorhynchus_mykiss 11 12235
Oreochromis_niloticus 9 2400
Astyanax_mexicanus NA NA
Taeniopygia_guttata 12 12
Branchiostoma_floridae NA NA
Strongylocentrotus_purpuratus 50 NA
Crassostrea_gigas NA NA
Cebus_capucinus 54 2655
Tinamus_guttatus NA NA
Loa_loa NA NA
Strongyloides_ratti NA NA
Brugia_malayi NA NA
Caenorhabditis_elegans 0.16 NA
Caenorhabditis_remanei NA NA
Zootermopsis_nevadensis NA NA
Oryza_brachyantha NA NA
Capsaspora_owczarzaki NA NA
Guillardia_theta NA NA
Auxenochlorella_protothecoides NA NA
Micromonas_pusilla NA NA
Micromonas_commoda NA NA
Ostreococcus_tauri NA NA
Ostreococcus_sp NA NA
Physcomitrella_patens NA NA
Selaginella_moellendorffii NA NA
Habropoda_laboriosa NA NA
Cicer_arietinum NA NA
Cajanus_cajan NA NA
Eutrema_salsugineum NA NA
Arabidopsis_lyrata NA NA
Brassica_napus NA NA
Arabidopsis_thaliana NA NA
Rosa_chinensis NA NA
Prunus_persica NA NA
Populus_trichocarpa NA NA
Eucalyptus_grandis NA NA
Cucumis_sativus NA NA
Helianthus_annuus NA NA
Erythranthe_guttata NA NA
Nicotiana_attenuata NA NA
Solanum_tuberosum NA NA
Nicotiana_tabacum NA NA
Solanum_lycopersicum NA NA
Capsicum_annuum NA NA
Spinacia_oleracea NA NA
Gossypium_hirsutum NA NA
Gossypium_raimondii NA NA
Morus_notabilis NA NA
Citrus_clementina NA NA
Citrus_sinensis NA NA
Musa_acuminata NA NA
Setaria_italica NA NA
Sorghum_bicolor NA NA
Zea_mays NA NA
Oryza_sativa NA NA
Brachypodium_distachyon NA NA
Cyanidioschyzon_merolae NA NA
Emiliania_huxleyi NA NA
Physeter_catodon NA NA
Theileria_parva NA NA
Theileria_annulata NA NA
Theileria_equi NA NA
Cryptosporidium_muris NA NA
Cryptosporidium_parvum NA NA
Thalassiosira_pseudonana NA NA
Phytophthora_parasitica NA NA
Phytophthora_infestans NA NA
Aphanomyces_invadans NA NA
Aphanomyces_astaci NA NA
Lobosporangium_transversale NA NA
Batrachochytrium_dendrobatidis NA NA
Rhizophagus_irregularis NA NA
Helobdella_robusta NA NA
Phycomyces_blakesleeanus NA NA
Wallemia_ichthyophaga NA NA
Malassezia_pachydermatis NA NA
Malassezia_globosa NA NA
Pseudozyma_hubeiensis NA NA
Kalmanozyma_brasiliensis NA NA
Kockovaella_imperatae NA NA
Cryptococcus_neoformans NA NA
Cryptococcus_gattii NA NA
Mixia_osmundae NA NA
Rhodotorula_graminis NA NA
Melampsora_larici-populina NA NA
Heterobasidion_irregulare NA NA
Dictyostelium_purpureum NA NA
Postia_placenta NA NA
Schizosaccharomyces_japonicus NA NA
Pneumocystis_jirovecii NA NA
Pneumocystis_murina NA NA
Tuber_melanosporum NA NA
Marssonina_brunnea NA NA
Sclerotinia_sclerotiorum NA NA
Leptosphaeria_maculans NA NA
Bipolaris_zeicola NA NA
Parastagonospora_nodorum NA NA
Fonsecaea_erecta NA NA
Coccidioides_immitis NA NA
Uncinocarpus_reesii NA NA
Trichophyton_benhamiae NA NA
Nannizzia_gypsea NA NA
Microsporum_canis NA NA
Talaromyces_stipitatus NA NA
Aspergillus_terreus NA NA
Aspergillus_clavatus NA NA
Aspergillus_fumigatus NA NA
Aspergillus_thermomutatus NA NA
Aspergillus_novofumigatus NA NA
Aspergillus_niger NA NA
Aspergillus_sclerotioniger NA NA
Aspergillus_heteromorphus NA NA
Aspergillus_eucalypticola NA NA
Aspergillus_oryzae NA NA
Aspergillus_nomius NA NA
Pestalotiopsis_fici NA NA
Aspergillus_bombycis NA NA
Histoplasma_capsulatum NA NA
Blastomyces_gilchristii NA NA
Paracoccidioides_brasiliensis NA NA
Paracoccidioides_lutzii NA NA
Sordaria_macrospora NA NA
Neurospora_crassa NA NA
Thermothelomyces_thermophila NA NA
Chaetomium_globosum NA NA
Chaetomium_thermophilum NA NA
Thielavia_terrestris NA NA
Grosmannia_clavigera NA NA
Pochonia_chlamydosporia NA NA
Trichoderma_atroviride NA NA
Trichoderma_reesei NA NA
Trichoderma_virens NA NA
Fusarium_venenatum NA NA
Fusarium_graminearum NA NA
Fusarium_oxysporum NA NA
Fusarium_verticillioides NA NA
Colletotrichum_higginsianum NA NA
Colletotrichum_graminicola NA NA
Colletotrichum_orchidophilum NA NA
Verticillium_dahliae NA NA
Verticillium_alfalfae NA NA
Amborella_trichopoda NA NA
Baudoinia_panamericana NA NA
Zymoseptoria_tritici NA NA
Lucilia_cuprina NA NA
Candida_auris NA NA
Candida_haemulonis NA NA
Candida_pseudohaemulonis NA NA
Clavispora_lusitaniae NA NA
Metschnikowia_bicuspidata NA NA
Scheffersomyces_stipitis NA NA
Meyerozyma_guilliermondii NA NA
Talaromyces_marneffei NA NA
Candida_albicans NA NA
Candida_viswanathii NA NA
Candida_tropicalis NA NA
Lodderomyces_elongisporus NA NA
Spathaspora_passalidarum NA NA
Wickerhamomyces_anomalus NA NA
Tetrapisispora_blattae NA NA
Vanderwaltozyma_polyspora NA NA
Tetrapisispora_phaffii NA NA
Kluyveromyces_marxianus NA NA
Eremothecium_sinecaudum NA NA
Eremothecium_cymbalariae NA NA
Eremothecium_gossypii NA NA
Lachancea_thermotolerans NA NA
Lachancea_lanzarotensis NA NA
Naumovozyma_dairenensis NA NA
Kazachstania_naganishii NA NA
Kazachstania_africana NA NA
Saccharomyces_cerevisiae 0.04 NA
Drosophila_ficusphila NA NA
Naumovozyma_castellii NA NA
Kuraishia_capsulata NA NA
Ogataea_parapolymorpha NA NA
Dipodomys_ordii 9.9 57
