name	superkingdom	kingdom	phylum	subphylum	family
Heterocephalus_glaber	Eukaryota	Metazoa	Chordata	Craniata	Bathyergidae
Bos_taurus	Eukaryota	Metazoa	Chordata	Craniata	Bovidae
Sus_scrofa	Eukaryota	Metazoa	Chordata	Craniata	Suidae
Pongo_abelii	Eukaryota	Metazoa	Chordata	Craniata	Hominidae
Loxodonta_africana	Eukaryota	Metazoa	Chordata	Craniata	Elephantidae
Balaenoptera_acutorostrata	Eukaryota	Metazoa	Chordata	Craniata	Balaenopteridae
Delphinapterus_leucas	Eukaryota	Metazoa	Chordata	Craniata	Monodontidae
Tursiops_truncatus	Eukaryota	Metazoa	Chordata	Craniata	Delphinidae
Cavia_porcellus	Eukaryota	Metazoa	Chordata	Craniata	Caviidae
Oryctolagus_cuniculus	Eukaryota	Metazoa	Chordata	Craniata	Leporidae
Felis_catus	Eukaryota	Metazoa	Chordata	Craniata	Felidae
Ailuropoda_melanoleuca	Eukaryota	Metazoa	Chordata	Craniata	Ursidae
Canis_lupus	Eukaryota	Metazoa	Chordata	Craniata	Canidae
Homo_sapiens	Eukaryota	Metazoa	Chordata	Craniata	Hominidae
Pan_troglodytes	Eukaryota	Metazoa	Chordata	Craniata	Hominidae
Pan_paniscus	Eukaryota	Metazoa	Chordata	Craniata	Hominidae
Papio_anubis	Eukaryota	Metazoa	Chordata	Craniata	Cercopithecidae
Macaca_mulatta	Eukaryota	Metazoa	Chordata	Craniata	Cercopithecidae
Macaca_fascicularis	Eukaryota	Metazoa	Chordata	Craniata	Cercopithecidae
Macaca_nemestrina	Eukaryota	Metazoa	Chordata	Craniata	Cercopithecidae
Mandrillus_leucophaeus	Eukaryota	Metazoa	Chordata	Craniata	Cercopithecidae
Cercocebus_atys	Eukaryota	Metazoa	Chordata	Craniata	Cercopithecidae
Pteropus_alecto	Eukaryota	Metazoa	Chordata	Craniata	Pteropodidae
Nomascus_leucogenys	Eukaryota	Metazoa	Chordata	Craniata	Hylobatidae
Aotus_nancymaae	Eukaryota	Metazoa	Chordata	Craniata	Aotidae
Ursus_maritimus	Eukaryota	Metazoa	Chordata	Craniata	Ursidae
Rattus_norvegicus	Eukaryota	Metazoa	Chordata	Craniata	Muridae
Mus_musculus	Eukaryota	Metazoa	Chordata	Craniata	Muridae
Meleagris_gallopavo	Eukaryota	Metazoa	Chordata	Craniata	Phasianidae
Gallus_gallus	Eukaryota	Metazoa	Chordata	Craniata	Phasianidae
Anas_platyrhynchos	Eukaryota	Metazoa	Chordata	Craniata	Anatidae
Manacus_vitellinus	Eukaryota	Metazoa	Chordata	Craniata	Pipridae
Anolis_carolinensis	Eukaryota	Metazoa	Chordata	Craniata	Dactyloidae
Alligator_mississippiensis	Eukaryota	Metazoa	Chordata	Craniata	Alligatoridae
Alligator_sinensis	Eukaryota	Metazoa	Chordata	Craniata	Alligatoridae
Xenopus_tropicalis	Eukaryota	Metazoa	Chordata	Craniata	Pipidae
Nothobranchius_furzeri	Eukaryota	Metazoa	Chordata	Craniata	Nothobranchiidae
Oryzias_latipes	Eukaryota	Metazoa	Chordata	Craniata	Adrianichthyidae
Salmo_salar	Eukaryota	Metazoa	Chordata	Craniata	Salmonidae
Oncorhynchus_mykiss	Eukaryota	Metazoa	Chordata	Craniata	Salmonidae
Oreochromis_niloticus	Eukaryota	Metazoa	Chordata	Craniata	Cichlidae
Astyanax_mexicanus	Eukaryota	Metazoa	Chordata	Craniata	Characidae
Taeniopygia_guttata	Eukaryota	Metazoa	Chordata	Craniata	Estrildidae
Branchiostoma_floridae	Eukaryota	Metazoa	Chordata	Cephalochordata	Branchiostomidae
Strongylocentrotus_purpuratus	Eukaryota	Metazoa	Echinodermata	none	Strongylocentrotidae
Crassostrea_gigas	Eukaryota	Metazoa	Mollusca	none	Ostreidae
Cebus_capucinus	Eukaryota	Metazoa	Chordata	Craniata	Cebidae
Tinamus_guttatus	Eukaryota	Metazoa	Chordata	Craniata	Tinamidae
Loa_loa	Eukaryota	Metazoa	Nematoda	none	Onchocercidae
Strongyloides_ratti	Eukaryota	Metazoa	Nematoda	none	Strongyloididae
Brugia_malayi	Eukaryota	Metazoa	Nematoda	none	Onchocercidae
Caenorhabditis_elegans	Eukaryota	Metazoa	Nematoda	none	Rhabditidae
Caenorhabditis_remanei	Eukaryota	Metazoa	Nematoda	none	Rhabditidae
Zootermopsis_nevadensis	Eukaryota	Metazoa	Arthropoda	Hexapoda	Termopsidae
Oryza_brachyantha	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Poaceae
Capsaspora_owczarzaki	Eukaryota	none	none	none	none
