name	superkingdom	kingdom	phylum	subphylum	class	order	family
Ajellomyces dermatitidis	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Ajellomycetaceae
Paracoccidioides lutzii	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Paracoccidioides lutzii
Talaromyces stipitatus	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Trichocomaceae
Aspergillus terreus	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae
Aspergillus oryzae	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae
Aspergillus niger	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae
Penicillium digitatum	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae
Fonsecaea erecta	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae
Endocarpon pusillum	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Verrucariales	Verrucariaceae
Marssonina brunnea	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Dermateaceae
Diplodia corticola	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae
Leptosphaeria maculans	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Leptosphaeriaceae
Setosphaeria turcica	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Pleosporaceae
Selaginella moellendorffii	Eukaryota	Plantae	Streptophyta	Streptophytina	Lycopodiopsida	Selaginellales	Selaginellaceae
Zymoseptoria tritici	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Capnodiales	Mycosphaerellaceae
Pseudocercospora fijiensis	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Capnodiales	Mycosphaerellaceae
Grosmannia clavigera	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Ophiostomatales	Ophiostomataceae
Eutypa lata	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariales	Diatrypaceae
Colletotrichum graminicola	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Glomerellales	Glomerellaceae
Verticillium alfalfae	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Glomerellales	Plectosphaerellaceae
Fusarium oxysporum	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Nectriaceae
Atta colombica	Eukaryota	Animalia	Arthropoda	Hexapoda	Insecta	Hymenoptera	Formicidae
Pochonia chlamydosporia	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Pochonia 
Chaetomium thermophilum	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Chaetomiaceae
Thielavia terrestris	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Chaetomiaceae
Aphanomyces astaci	Eukaryota	Fungi	Saprolegniales	Saprolegniaceae	Aphanomyces astaci	Eukaryota	Oomycetes
Neurospora crassa	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Sordariaceae
Sugiyamaella lignohabitans	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Trichomonascaceae
Metschnikowia bicuspidata	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Metschnikowiaceae
Lodderomyces elongisporus	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae
Candida tropicalis	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae
Candida albicans	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae
Spathaspora passalidarum	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae
Kuraishia capsulata	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Kuraishia capsulata
Pichia kudriavzevii	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Pichiaceae
Ogataea parapolymorpha	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Pichiaceae
Tetrapisispora blattae	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Tetrapisispora phaffii	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Kazachstania africana	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Lachancea thermotolerans	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Lachancea lanzarotensis	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Kluyveromyces marxianus	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Kluyveromyces lactis	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Eremothecium cymbalariae	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Kazachstania naganishii	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Candida glabrata	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Vanderwaltozyma polyspora	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Zygosaccharomyces rouxii	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Torulaspora delbrueckii	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Naumovozyma dairenensis	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Drosophila ficusphila	Eukaryota	Animalia	Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae
Saccharomyces cerevisiae	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Saccharomyces paradoxus	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Saccharomyces bayanus	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Saccharomyces mikatae	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Naumovozyma castellii	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae
Pneumocystis murina	Eukaryota	Fungi	Ascomycota	Taphrinomycotina	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae
Pneumocystis jirovecii	Eukaryota	Fungi	Ascomycota	Taphrinomycotina	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae
Lobosporangium transversale	Eukaryota	Fungi	Mucoromycota	Mortierellomycotina	Mortierellomycetes	Mortierellales	Mortierellaceae
Emiliania huxleyi	Eukaryota	Protista	Isochrysidales	Noelaerhabdaceae	Emiliania huxleyi	Eukaryota	Haptophyceae
Capsaspora owczarzaki	Eukaryota	Protista	Capsaspora owczarzaki	Eukaryota	Ichthyosporea	Capsaspora owczarzaki	Eukaryota
Salpingoeca rosetta	Eukaryota	Protista	Salpingoecidae	Salpingoeca rosetta	Eukaryota	Choanoflagellida	Salpingoecidae
Cryptosporidium muris	Eukaryota	Protista	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium muris	Eukaryota
Eimeria tenella	Eukaryota	Protista	Conoidasida	Eucoccidiorida	Eimeriidae	Eimeria tenella	Eukaryota
Trypanosoma brucei	Eukaryota	Protista	Trypanosomatidae	Trypanosoma brucei	Eukaryota	Kinetoplastida	Trypanosomatidae
Babesia microti	Eukaryota	Protista	Aconoidasida	Babesiidae	Babesia microti	Eukaryota	Apicomplexa
