	Heterocephalus_glaber	Bos_taurus	Sus_scrofa	Pongo_abelii	Loxodonta_africana	Balaenoptera_acutorostrata	Delphinapterus_leucas	Tursiops_truncatus	Cavia_porcellus	Oryctolagus_cuniculus	Felis_catus	Ailuropoda_melanoleuca	Canis_lupus	Homo_sapiens	Pan_troglodytes	Pan_paniscus	Papio_anubis	Macaca_mulatta	Macaca_fascicularis	Macaca_nemestrina	Mandrillus_leucophaeus	Cercocebus_atys	Pteropus_alecto	Nomascus_leucogenys	Aotus_nancymaae	Ursus_maritimus	Rattus_norvegicus	Mus_musculus	Meleagris_gallopavo	Gallus_gallus	Anas_platyrhynchos	Manacus_vitellinus	Anolis_carolinensis	Alligator_mississippiensis	Alligator_sinensis	Xenopus_tropicalis	Nothobranchius_furzeri	Oryzias_latipes	Salmo_salar	Oncorhynchus_mykiss	Oreochromis_niloticus	Astyanax_mexicanus	Taeniopygia_guttata	Branchiostoma_floridae	Strongylocentrotus_purpuratus	Crassostrea_gigas	Cebus_capucinus	Tinamus_guttatus	Loa_loa	Strongyloides_ratti	Brugia_malayi	Caenorhabditis_elegans	Caenorhabditis_remanei	Zootermopsis_nevadensis	Oryza_brachyantha	Capsaspora_owczarzaki	Guillardia_theta	Auxenochlorella_protothecoides	Micromonas_pusilla	Micromonas_commoda	Ostreococcus_tauri	Ostreococcus_sp.	Physcomitrella_patens	Selaginella_moellendorffii	Habropoda_laboriosa	Cicer_arietinum	Cajanus_cajan	Eutrema_salsugineum	Arabidopsis_lyrata	Brassica_napus	Arabidopsis_thaliana	Rosa_chinensis	Prunus_persica	Populus_trichocarpa	Eucalyptus_grandis	Cucumis_sativus	Helianthus_annuus	Erythranthe_guttata	Nicotiana_attenuata	Solanum_tuberosum	Nicotiana_tabacum	Solanum_lycopersicum	Capsicum_annuum	Spinacia_oleracea	Gossypium_hirsutum	Gossypium_raimondii	Morus_notabilis	Citrus_clementina	Citrus_sinensis	Musa_acuminata	Setaria_italica	Sorghum_bicolor	Zea_mays	Oryza_sativa	Brachypodium_distachyon	Cyanidioschyzon_merolae	Emiliania_huxleyi	Physeter_catodon	Theileria_parva	Theileria_annulata	Theileria_equi	Cryptosporidium_muris	Cryptosporidium_parvum	Thalassiosira_pseudonana	Phytophthora_parasitica	Phytophthora_infestans	Aphanomyces_invadans	Aphanomyces_astaci	Lobosporangium_transversale	Batrachochytrium_dendrobatidis	Rhizophagus_irregularis	Helobdella_robusta	Phycomyces_blakesleeanus	Wallemia_ichthyophaga	Malassezia_pachydermatis	Malassezia_globosa	Pseudozyma_hubeiensis	Kalmanozyma_brasiliensis	Kockovaella_imperatae	Cryptococcus_neoformans	Cryptococcus_gattii	Mixia_osmundae	Rhodotorula_graminis	Melampsora_larici-populina	Heterobasidion_irregulare	Dictyostelium_purpureum	Postia_placenta	Schizosaccharomyces_japonicus	Pneumocystis_jirovecii	Pneumocystis_murina	Tuber_melanosporum	Marssonina_brunnea	Sclerotinia_sclerotiorum	Leptosphaeria_maculans	Bipolaris_zeicola	Parastagonospora_nodorum	Fonsecaea_erecta	Coccidioides_immitis	Uncinocarpus_reesii	Trichophyton_benhamiae	Nannizzia_gypsea	Microsporum_canis	Talaromyces_stipitatus	Aspergillus_terreus	Aspergillus_clavatus	Aspergillus_fumigatus	Aspergillus_thermomutatus	Aspergillus_novofumigatus	Aspergillus_niger	Aspergillus_sclerotioniger	Aspergillus_heteromorphus	Aspergillus_eucalypticola	Aspergillus_oryzae	Aspergillus_nomius	Pestalotiopsis_fici	Aspergillus_bombycis	Histoplasma_capsulatum	Blastomyces_gilchristii	Paracoccidioides_brasiliensis	Paracoccidioides_lutzii	Sordaria_macrospora	Neurospora_crassa	Thermothelomyces_thermophila	Chaetomium_globosum	Chaetomium_thermophilum	Thielavia_terrestris	Grosmannia_clavigera	Pochonia_chlamydosporia	Trichoderma_atroviride	Trichoderma_reesei	Trichoderma_virens	Fusarium_venenatum	Fusarium_graminearum	Fusarium_oxysporum	Fusarium_verticillioides	Colletotrichum_higginsianum	Colletotrichum_graminicola	Colletotrichum_orchidophilum	Verticillium_dahliae	Verticillium_alfalfae	Amborella_trichopoda	Baudoinia_panamericana	Zymoseptoria_tritici	Lucilia_cuprina	Candida_auris	Candida_haemulonis	Candida_pseudohaemulonis	Clavispora_lusitaniae	Metschnikowia_bicuspidata	Scheffersomyces_stipitis	Meyerozyma_guilliermondii	Talaromyces_marneffei	Candida_albicans	Candida_viswanathii	Candida_tropicalis	Lodderomyces_elongisporus	Spathaspora_passalidarum	Wickerhamomyces_anomalus	Tetrapisispora_blattae	Vanderwaltozyma_polyspora	Tetrapisispora_phaffii	Kluyveromyces_marxianus	Eremothecium_sinecaudum	Eremothecium_cymbalariae	Eremothecium_gossypii	Lachancea_thermotolerans	Lachancea_lanzarotensis	Naumovozyma_dairenensis	Kazachstania_naganishii	Kazachstania_africana	Saccharomyces_cerevisiae	Drosophila_ficusphila	Naumovozyma_castellii	Kuraishia_capsulata	Ogataea_parapolymorpha	Dipodomys_ordii
Heterocephalus_glaber	0.0	0.06646	0.06536	0.06752	0.0771	0.0677	0.15838	0.16667	0.06693	0.06923	0.06923	0.06923	0.06923	0.07151	0.07175	0.07154	0.07339	0.06923	0.06922	0.11088	0.1274	0.12558	0.06993	0.06923	0.07553	0.12864	0.06999	0.07482	0.09717	0.09692	0.10615	0.11368	0.09982	0.19371	0.11397	0.1191	0.1327	0.13321	0.1311	0.14083	0.13225	0.22338	0.17407	0.23953	0.25655	0.27924	0.43016	0.43318	0.43014	0.78796	0.65949	0.65949	0.65946	0.56967	0.40466	0.49018	0.52041	0.57427	0.54298	0.5436	0.53934	0.53859	0.51366	0.53947	0.54902	0.55665	0.56796	0.55775	0.56077	0.55839	0.55834	0.55981	0.55963	0.58714	0.5569	0.55767	0.56572	0.56928	0.57238	0.57304	0.57538	0.6576	0.57308	0.57472	0.55918	0.56063	0.5582	0.55824	0.5598	0.5651	0.55848	0.56109	0.56844	0.56221	0.56353	0.5956	0.55949	0.60156	0.62093	0.61986	0.62786	0.58403	0.61361	0.60935	0.59655	0.60109	0.58876	0.58876	0.42659	0.50452	0.46327	0.59785	0.59784	0.50878	0.48602	0.49546	0.54798	0.54799	0.49365	0.49685	0.49761	0.56753	0.57547	0.58228	0.4708	0.46995	0.47101	0.45009	0.45798	0.45481	0.45549	0.47086	0.47097	0.487	0.51069	0.48538	0.50862	0.497	0.49944	0.5057	0.51153	0.507	0.51838	0.5243	0.53188	0.5276	0.52758	0.52759	0.5276	0.5309	0.5301	0.52794	0.52351	0.5251	0.526	0.5251	0.49961	0.49636	0.50046	0.49881	0.53224	0.53877	0.52526	0.5291	0.5365	0.53155	0.53436	0.52775	0.53876	0.53935	0.53779	0.53069	0.53069	0.53223	0.53232	0.529	0.53364	0.52892	0.55448	0.55364	0.4751	0.489	0.48415	0.63838	0.51217	0.51063	0.51063	0.50694	0.52531	0.48298	0.48778	0.48768	0.48979	0.49284	0.49378	0.49548	0.49249	0.50363	0.53	0.51687	0.52036	0.52375	0.52004	0.52113	0.51951	0.51853	0.51931	0.51462	0.52011	0.51849	0.51928	0.51928	0.51768	0.52373	0.51112	0.06692
Bos_taurus	0.06646	0.0	0.00268	0.00484	0.01442	0.00502	0.0957	0.10398	0.00425	0.00655	0.00655	0.00655	0.00655	0.00883	0.00907	0.00886	0.01071	0.00655	0.00654	0.0482	0.06472	0.0629	0.00725	0.00655	0.01285	0.06596	0.00731	0.01213	0.03449	0.03423	0.04347	0.051	0.03714	0.13103	0.05129	0.05642	0.07002	0.07053	0.06841	0.07815	0.06957	0.1607	0.11138	0.17684	0.19387	0.21656	0.36747	0.3705	0.36746	0.72528	0.59681	0.59681	0.59678	0.50699	0.34197	0.4275	0.45773	0.51159	0.4803	0.48091	0.47666	0.47591	0.45097	0.47679	0.48633	0.49397	0.50528	0.49507	0.49809	0.49571	0.49566	0.49712	0.49695	0.52446	0.49421	0.49499	0.50303	0.5066	0.5097	0.51035	0.51269	0.59491	0.5104	0.51204	0.4965	0.49795	0.49551	0.49556	0.49712	0.50242	0.4958	0.4984	0.50576	0.49953	0.50085	0.53292	0.49681	0.53888	0.55825	0.55718	0.56517	0.52135	0.55093	0.54667	0.53387	0.53841	0.52608	0.52608	0.36391	0.44184	0.40059	0.53517	0.53516	0.4461	0.42334	0.43278	0.4853	0.48531	0.43096	0.43416	0.43492	0.50485	0.51279	0.51959	0.40812	0.40726	0.40832	0.38741	0.3953	0.39213	0.39281	0.40818	0.40829	0.42432	0.44801	0.42269	0.44594	0.43432	0.43675	0.44302	0.44884	0.44432	0.45569	0.46162	0.4692	0.46492	0.4649	0.46491	0.46491	0.46822	0.46741	0.46526	0.46083	0.46242	0.46332	0.46241	0.43692	0.43368	0.43777	0.43613	0.46956	0.47609	0.46257	0.46641	0.47382	0.46887	0.47168	0.46506	0.47608	0.47667	0.4751	0.46801	0.46801	0.46955	0.46964	0.46632	0.47096	0.46624	0.4918	0.49095	0.41242	0.42632	0.42146	0.57569	0.44949	0.44794	0.44795	0.44426	0.46263	0.4203	0.4251	0.425	0.42711	0.43015	0.4311	0.43279	0.4298	0.44095	0.46732	0.45419	0.45768	0.46107	0.45735	0.45845	0.45683	0.45584	0.45662	0.45194	0.45743	0.45581	0.4566	0.4566	0.45499	0.46105	0.44844	0.00424
Sus_scrofa	0.06536	0.00268	0.0	0.00374	0.01332	0.00392	0.0946	0.10288	0.00315	0.00545	0.00545	0.00545	0.00545	0.00773	0.00797	0.00776	0.00961	0.00545	0.00544	0.0471	0.06362	0.0618	0.00615	0.00545	0.01175	0.06486	0.00621	0.01103	0.03339	0.03313	0.04237	0.0499	0.03604	0.12993	0.05019	0.05532	0.06892	0.06943	0.06731	0.07705	0.06847	0.1596	0.11028	0.17574	0.19277	0.21546	0.36637	0.3694	0.36636	0.72418	0.59571	0.59571	0.59568	0.50589	0.34087	0.4264	0.45663	0.51049	0.4792	0.47981	0.47556	0.47481	0.44987	0.47569	0.48523	0.49287	0.50418	0.49397	0.49699	0.49461	0.49456	0.49602	0.49585	0.52336	0.49311	0.49389	0.50193	0.5055	0.5086	0.50925	0.51159	0.59381	0.5093	0.51094	0.4954	0.49685	0.49441	0.49446	0.49602	0.50132	0.4947	0.4973	0.50466	0.49843	0.49975	0.53182	0.49571	0.53778	0.55715	0.55608	0.56407	0.52025	0.54983	0.54557	0.53277	0.53731	0.52498	0.52498	0.36281	0.44074	0.39949	0.53407	0.53406	0.445	0.42224	0.43168	0.4842	0.48421	0.42986	0.43306	0.43382	0.50375	0.51169	0.51849	0.40702	0.40616	0.40722	0.38631	0.3942	0.39103	0.39171	0.40708	0.40719	0.42322	0.44691	0.42159	0.44484	0.43322	0.43565	0.44192	0.44775	0.44322	0.45459	0.46052	0.4681	0.46382	0.4638	0.46381	0.46381	0.46712	0.46631	0.46416	0.45973	0.46132	0.46222	0.46131	0.43582	0.43258	0.43667	0.43503	0.46846	0.47499	0.46147	0.46531	0.47272	0.46777	0.47058	0.46396	0.47498	0.47557	0.474	0.46691	0.46691	0.46845	0.46854	0.46522	0.46986	0.46514	0.4907	0.48985	0.41132	0.42522	0.42036	0.57459	0.44839	0.44684	0.44685	0.44316	0.46153	0.4192	0.424	0.4239	0.42601	0.42905	0.43	0.43169	0.4287	0.43985	0.46622	0.45309	0.45658	0.45997	0.45625	0.45735	0.45573	0.45474	0.45552	0.45084	0.45633	0.45471	0.4555	0.4555	0.45389	0.45995	0.44734	0.00314
Pongo_abelii	0.06752	0.00484	0.00374	0.0	0.01548	0.00608	0.09676	0.10504	0.00531	0.00761	0.00761	0.00761	0.00761	0.00989	0.01013	0.00992	0.01177	0.00761	0.0076	0.04926	0.06578	0.06396	0.00831	0.00761	0.01391	0.06702	0.00837	0.01319	0.03555	0.03529	0.04453	0.05206	0.0382	0.13209	0.05235	0.05748	0.07108	0.07159	0.06947	0.07921	0.07063	0.16176	0.11244	0.1779	0.19493	0.21762	0.36853	0.37156	0.36852	0.72634	0.59787	0.59787	0.59784	0.50805	0.34303	0.42856	0.45879	0.51265	0.48136	0.48197	0.47772	0.47697	0.45203	0.47785	0.48739	0.49503	0.50634	0.49613	0.49915	0.49677	0.49672	0.49818	0.49801	0.52552	0.49527	0.49605	0.50409	0.50766	0.51076	0.51141	0.51375	0.59597	0.51145	0.5131	0.49756	0.49901	0.49657	0.49662	0.49818	0.50348	0.49686	0.49946	0.50682	0.50059	0.50191	0.53398	0.49787	0.53994	0.55931	0.55824	0.56623	0.52241	0.55199	0.54773	0.53493	0.53947	0.52714	0.52714	0.36497	0.4429	0.40165	0.53623	0.53622	0.44716	0.4244	0.43384	0.48636	0.48637	0.43202	0.43522	0.43598	0.50591	0.51385	0.52065	0.40918	0.40832	0.40938	0.38847	0.39636	0.39319	0.39387	0.40924	0.40935	0.42538	0.44907	0.42375	0.447	0.43538	0.43781	0.44408	0.4499	0.44538	0.45675	0.46268	0.47026	0.46598	0.46596	0.46597	0.46597	0.46928	0.46847	0.46632	0.46189	0.46348	0.46438	0.46347	0.43798	0.43474	0.43883	0.43719	0.47062	0.47715	0.46363	0.46747	0.47488	0.46993	0.47274	0.46612	0.47714	0.47773	0.47616	0.46907	0.46907	0.47061	0.4707	0.46738	0.47202	0.4673	0.49286	0.49201	0.41348	0.42738	0.42252	0.57675	0.45055	0.449	0.44901	0.44532	0.46369	0.42136	0.42616	0.42606	0.42817	0.43121	0.43216	0.43385	0.43086	0.44201	0.46838	0.45525	0.45874	0.46213	0.45841	0.45951	0.45789	0.4569	0.45768	0.453	0.45849	0.45687	0.45766	0.45766	0.45605	0.46211	0.4495	0.0053
Loxodonta_africana	0.0771	0.01442	0.01332	0.01548	0.0	0.01253	0.10321	0.11149	0.01176	0.01406	0.01406	0.01406	0.01406	0.01634	0.01658	0.01637	0.01822	0.01406	0.01405	0.05571	0.07222	0.07041	0.01476	0.01406	0.02036	0.07347	0.01482	0.01964	0.042	0.04174	0.05098	0.05851	0.04465	0.13854	0.0588	0.06393	0.07753	0.07804	0.07592	0.08566	0.07708	0.16821	0.11889	0.18435	0.20138	0.22407	0.37498	0.37801	0.37497	0.73279	0.60431	0.60432	0.60429	0.5145	0.34948	0.435	0.46524	0.5191	0.48781	0.48842	0.48417	0.48342	0.45848	0.4843	0.49384	0.50148	0.51279	0.50258	0.5056	0.50322	0.50317	0.50463	0.50446	0.53197	0.50172	0.5025	0.51054	0.51411	0.51721	0.51786	0.5202	0.60242	0.5179	0.51955	0.50401	0.50546	0.50302	0.50307	0.50463	0.50993	0.50331	0.50591	0.51327	0.50704	0.50836	0.54043	0.50432	0.54639	0.56576	0.56469	0.57268	0.52886	0.55844	0.55418	0.54138	0.54592	0.53359	0.53359	0.37142	0.44935	0.4081	0.54268	0.54267	0.4536	0.43085	0.44029	0.49281	0.49282	0.43847	0.44167	0.44243	0.51236	0.5203	0.5271	0.41563	0.41477	0.41583	0.39492	0.40281	0.39964	0.40032	0.41569	0.41579	0.43183	0.45552	0.4302	0.45345	0.44183	0.44426	0.45053	0.45635	0.45182	0.4632	0.46913	0.47671	0.47243	0.47241	0.47242	0.47242	0.47573	0.47492	0.47277	0.46834	0.46993	0.47083	0.46992	0.44443	0.44118	0.44528	0.44363	0.47707	0.48359	0.47008	0.47392	0.48133	0.47638	0.47919	0.47257	0.48359	0.48418	0.48261	0.47551	0.47551	0.47706	0.47715	0.47383	0.47847	0.47375	0.49931	0.49846	0.41993	0.43383	0.42897	0.5832	0.457	0.45545	0.45545	0.45177	0.47014	0.42781	0.43261	0.43251	0.43462	0.43766	0.43861	0.4403	0.43731	0.44846	0.47483	0.4617	0.46519	0.46858	0.46486	0.46595	0.46434	0.46335	0.46413	0.45945	0.46494	0.46332	0.46411	0.46411	0.4625	0.46856	0.45595	0.01175
Balaenoptera_acutorostrata	0.0677	0.00502	0.00392	0.00608	0.01253	0.0	0.0938	0.10209	0.00235	0.00465	0.00465	0.00465	0.00465	0.00693	0.00718	0.00696	0.00881	0.00465	0.00464	0.0463	0.06282	0.061	0.00535	0.00465	0.01096	0.06407	0.00541	0.01024	0.03259	0.03234	0.04158	0.0491	0.03524	0.12913	0.0494	0.05452	0.06813	0.06864	0.06652	0.07625	0.06767	0.1588	0.10949	0.17495	0.19198	0.21467	0.36558	0.3686	0.36557	0.72338	0.59491	0.59491	0.59488	0.50509	0.34008	0.4256	0.45584	0.50969	0.4784	0.47902	0.47476	0.47401	0.44908	0.47489	0.48444	0.49208	0.50338	0.49318	0.49619	0.49381	0.49376	0.49523	0.49506	0.52256	0.49232	0.4931	0.50114	0.50471	0.5078	0.50846	0.5108	0.59302	0.5085	0.51015	0.4946	0.49606	0.49362	0.49366	0.49522	0.50052	0.49391	0.49651	0.50386	0.49763	0.49895	0.53102	0.49491	0.53698	0.55636	0.55529	0.56328	0.51946	0.54903	0.54477	0.53197	0.53651	0.52419	0.52418	0.36201	0.43994	0.39869	0.53327	0.53327	0.4442	0.42145	0.43088	0.4834	0.48341	0.42907	0.43227	0.43303	0.50295	0.5109	0.5177	0.40623	0.40537	0.40643	0.38552	0.39341	0.39023	0.39091	0.40628	0.40639	0.42242	0.44611	0.4208	0.44404	0.43242	0.43486	0.44113	0.44695	0.44242	0.4538	0.45972	0.4673	0.46303	0.463	0.46301	0.46302	0.46632	0.46552	0.46337	0.45893	0.46053	0.46143	0.46052	0.43503	0.43178	0.43588	0.43423	0.46766	0.47419	0.46068	0.46452	0.47192	0.46697	0.46978	0.46317	0.47419	0.47477	0.47321	0.46611	0.46611	0.46765	0.46774	0.46443	0.46907	0.46435	0.4899	0.48906	0.41053	0.42442	0.41957	0.5738	0.44759	0.44605	0.44605	0.44237	0.46073	0.41841	0.4232	0.42311	0.42521	0.42826	0.4292	0.4309	0.42791	0.43906	0.46542	0.45229	0.45578	0.45917	0.45546	0.45655	0.45493	0.45395	0.45473	0.45004	0.45554	0.45391	0.4547	0.4547	0.4531	0.45915	0.44655	0.00234
Delphinapterus_leucas	0.15838	0.0957	0.0946	0.09676	0.10321	0.0938	0.0	0.0379	0.09303	0.09533	0.09533	0.09533	0.09533	0.09762	0.09786	0.09765	0.09949	0.09533	0.09532	0.13698	0.1535	0.15168	0.09603	0.09534	0.10164	0.15475	0.09609	0.10092	0.12327	0.12302	0.13226	0.13978	0.12592	0.21982	0.14008	0.1452	0.15881	0.15931	0.1572	0.16693	0.15835	0.24948	0.20017	0.26563	0.28266	0.30535	0.45626	0.45928	0.45625	0.81406	0.68559	0.68559	0.68556	0.59577	0.43076	0.51628	0.54652	0.60037	0.56908	0.5697	0.56544	0.56469	0.53976	0.56557	0.57512	0.58276	0.59406	0.58386	0.58687	0.58449	0.58444	0.58591	0.58574	0.61324	0.583	0.58378	0.59182	0.59539	0.59848	0.59914	0.60148	0.6837	0.59918	0.60083	0.58528	0.58674	0.5843	0.58434	0.5859	0.5912	0.58459	0.58719	0.59454	0.58831	0.58963	0.6217	0.58559	0.62766	0.64704	0.64597	0.65396	0.61014	0.63971	0.63545	0.62265	0.62719	0.61487	0.61486	0.45269	0.53062	0.48937	0.62395	0.62395	0.53488	0.51213	0.52156	0.57408	0.57409	0.51975	0.52295	0.52371	0.59363	0.60158	0.60838	0.49691	0.49605	0.49711	0.4762	0.48409	0.48091	0.48159	0.49696	0.49707	0.5131	0.53679	0.51148	0.53472	0.5231	0.52554	0.53181	0.53763	0.5331	0.54448	0.5504	0.55798	0.55371	0.55368	0.55369	0.5537	0.557	0.5562	0.55405	0.54961	0.55121	0.55211	0.5512	0.52571	0.52246	0.52656	0.52491	0.55834	0.56487	0.55136	0.5552	0.5626	0.55765	0.56046	0.55385	0.56487	0.56545	0.56389	0.55679	0.55679	0.55833	0.55842	0.55511	0.55975	0.55503	0.58058	0.57974	0.50121	0.5151	0.51025	0.66448	0.53827	0.53673	0.53673	0.53305	0.55141	0.50909	0.51388	0.51379	0.51589	0.51894	0.51988	0.52158	0.51859	0.52974	0.5561	0.54297	0.54646	0.54985	0.54614	0.54723	0.54561	0.54463	0.54541	0.54072	0.54622	0.54459	0.54538	0.54538	0.54378	0.54983	0.53723	0.09302
Tursiops_truncatus	0.16667	0.10398	0.10288	0.10504	0.11149	0.10209	0.0379	0.0	0.10132	0.10362	0.10362	0.10362	0.10362	0.1059	0.10614	0.10593	0.10778	0.10362	0.10361	0.14527	0.16179	0.15997	0.10432	0.10362	0.10992	0.16303	0.10438	0.1092	0.13156	0.1313	0.14054	0.14807	0.13421	0.2281	0.14836	0.15349	0.16709	0.1676	0.16548	0.17522	0.16664	0.25777	0.20846	0.27392	0.29094	0.31363	0.46455	0.46757	0.46453	0.82235	0.69388	0.69388	0.69385	0.60406	0.43904	0.52457	0.5548	0.60866	0.57737	0.57798	0.57373	0.57298	0.54804	0.57386	0.5834	0.59104	0.60235	0.59214	0.59516	0.59278	0.59273	0.59419	0.59402	0.62153	0.59128	0.59206	0.60011	0.60367	0.60677	0.60743	0.60976	0.69198	0.60747	0.60911	0.59357	0.59502	0.59259	0.59263	0.59419	0.59949	0.59287	0.59548	0.60283	0.5966	0.59792	0.62999	0.59388	0.63595	0.65532	0.65425	0.66224	0.61842	0.648	0.64374	0.63094	0.63548	0.62315	0.62315	0.46098	0.53891	0.49766	0.63224	0.63223	0.54317	0.52041	0.52985	0.58237	0.58238	0.52803	0.53123	0.53199	0.60192	0.60986	0.61667	0.50519	0.50434	0.5054	0.48448	0.49237	0.4892	0.48988	0.50525	0.50536	0.52139	0.54508	0.51977	0.54301	0.53139	0.53382	0.54009	0.54592	0.54139	0.55276	0.55869	0.56627	0.56199	0.56197	0.56198	0.56198	0.56529	0.56448	0.56233	0.5579	0.55949	0.56039	0.55948	0.53399	0.53075	0.53484	0.5332	0.56663	0.57316	0.55964	0.56348	0.57089	0.56594	0.56875	0.56214	0.57315	0.57374	0.57218	0.56508	0.56508	0.56662	0.56671	0.56339	0.56803	0.56331	0.58887	0.58803	0.50949	0.52339	0.51854	0.67277	0.54656	0.54501	0.54502	0.54133	0.5597	0.51737	0.52217	0.52207	0.52418	0.52722	0.52817	0.52986	0.52687	0.53802	0.56439	0.55126	0.55475	0.55814	0.55442	0.55552	0.5539	0.55291	0.5537	0.54901	0.5545	0.55288	0.55367	0.55367	0.55207	0.55812	0.54551	0.10131
Cavia_porcellus	0.06693	0.00425	0.00315	0.00531	0.01176	0.00235	0.09303	0.10132	0.0	0.00388	0.00388	0.00388	0.00388	0.00616	0.00641	0.00619	0.00804	0.00388	0.00387	0.04553	0.06205	0.06023	0.00458	0.00388	0.01019	0.0633	0.00464	0.00947	0.03182	0.03157	0.04081	0.04833	0.03447	0.12837	0.04863	0.05375	0.06735	0.06786	0.06575	0.07548	0.0669	0.15803	0.10872	0.17418	0.19121	0.2139	0.36481	0.36783	0.3648	0.72261	0.59414	0.59414	0.59411	0.50432	0.33931	0.42483	0.45507	0.50892	0.47763	0.47825	0.47399	0.47324	0.44831	0.47412	0.48367	0.49131	0.50261	0.49241	0.49542	0.49304	0.49299	0.49446	0.49429	0.52179	0.49155	0.49233	0.50037	0.50394	0.50703	0.50769	0.51003	0.59225	0.50773	0.50938	0.49383	0.49529	0.49285	0.49289	0.49445	0.49975	0.49314	0.49574	0.50309	0.49686	0.49818	0.53025	0.49414	0.53621	0.55559	0.55452	0.56251	0.51869	0.54826	0.544	0.5312	0.53574	0.52342	0.52341	0.36124	0.43917	0.39792	0.5325	0.5325	0.44343	0.42068	0.43011	0.48263	0.48264	0.4283	0.4315	0.43226	0.50218	0.51013	0.51693	0.40546	0.4046	0.40566	0.38475	0.39264	0.38946	0.39014	0.40551	0.40562	0.42165	0.44534	0.42003	0.44327	0.43165	0.43409	0.44036	0.44618	0.44165	0.45303	0.45895	0.46653	0.46226	0.46223	0.46224	0.46225	0.46555	0.46475	0.4626	0.45816	0.45976	0.46066	0.45975	0.43426	0.43101	0.43511	0.43346	0.46689	0.47342	0.45991	0.46375	0.47115	0.4662	0.46901	0.4624	0.47342	0.474	0.47244	0.46534	0.46534	0.46688	0.46697	0.46366	0.4683	0.46358	0.48913	0.48829	0.40976	0.42365	0.4188	0.57303	0.44682	0.44528	0.44528	0.4416	0.45996	0.41764	0.42243	0.42234	0.42444	0.42749	0.42843	0.43013	0.42714	0.43829	0.46465	0.45152	0.45501	0.4584	0.45469	0.45578	0.45416	0.45318	0.45396	0.44927	0.45477	0.45314	0.45393	0.45393	0.45233	0.45838	0.44578	0.00158
Oryctolagus_cuniculus	0.06923	0.00655	0.00545	0.00761	0.01406	0.00465	0.09533	0.10362	0.00388	0.0	0.00159	0.00159	0.00159	0.00387	0.00411	0.0039	0.00575	0.00159	0.00158	0.04324	0.05976	0.05794	0.00229	0.00159	0.00789	0.061	0.00235	0.00717	0.02953	0.02927	0.03851	0.04604	0.03218	0.12607	0.04633	0.05146	0.06506	0.06557	0.06345	0.07319	0.06461	0.15574	0.10642	0.17188	0.18891	0.2116	0.36251	0.36554	0.3625	0.72032	0.59184	0.59185	0.59182	0.50203	0.33701	0.42253	0.45277	0.50663	0.47534	0.47595	0.4717	0.47095	0.44601	0.47183	0.48137	0.48901	0.50032	0.49011	0.49313	0.49075	0.4907	0.49216	0.49199	0.5195	0.48925	0.49003	0.49807	0.50164	0.50474	0.50539	0.50773	0.58995	0.50543	0.50708	0.49154	0.49299	0.49055	0.4906	0.49216	0.49746	0.49084	0.49344	0.5008	0.49457	0.49589	0.52796	0.49185	0.53392	0.55329	0.55222	0.56021	0.51639	0.54597	0.54171	0.52891	0.53345	0.52112	0.52112	0.35895	0.43688	0.39563	0.53021	0.5302	0.44113	0.41838	0.42782	0.48034	0.48035	0.426	0.4292	0.42996	0.49989	0.50783	0.51463	0.40316	0.4023	0.40336	0.38245	0.39034	0.38717	0.38785	0.40322	0.40332	0.41936	0.44305	0.41773	0.44098	0.42936	0.43179	0.43806	0.44388	0.43935	0.45073	0.45666	0.46424	0.45996	0.45994	0.45995	0.45995	0.46326	0.46245	0.4603	0.45587	0.45746	0.45836	0.45745	0.43196	0.42871	0.43281	0.43116	0.4646	0.47112	0.45761	0.46145	0.46886	0.46391	0.46672	0.4601	0.47112	0.47171	0.47014	0.46304	0.46304	0.46459	0.46468	0.46136	0.466	0.46128	0.48684	0.48599	0.40746	0.42136	0.4165	0.57073	0.44453	0.44298	0.44298	0.4393	0.45767	0.41534	0.42014	0.42004	0.42215	0.42519	0.42614	0.42783	0.42484	0.43599	0.46236	0.44923	0.45272	0.45611	0.45239	0.45348	0.45187	0.45088	0.45166	0.44698	0.45247	0.45085	0.45164	0.45164	0.45003	0.45609	0.44348	0.00388
