taxid	name	uniprot
NA	Heterocephalus_glaber	UP000006813
9913	Bos_taurus	UP000009136
9823	Sus_scrofa	UP000008227
9601	Pongo_abelii	UP000001595
9785	Loxodonta_africana	UP000007646
9767	Balaenoptera_acutorostrata	UP000261681
9749	Delphinapterus_leucas	UP000248483
9739	Tursiops_truncatus	UP000245320
10141	Cavia_porcellus	UP000005447
9986	Oryctolagus_cuniculus	UP000001811
9685	Felis_catus	UP000011712
9646	Ailuropoda_melanoleuca	UP000008912
9612	Canis_lupus	UP000002254
9606	Homo_sapiens	UP000005640
9598	Pan_troglodytes	UP000002277
9597	Pan_paniscus	UP000240080
9555	Papio_anubis	UP000028761
9544	Macaca_mulatta	UP000006718
9541	Macaca_fascicularis	UP000009130
9545	Macaca_nemestrina	UP000233120
9568	Mandrillus_leucophaeus	UP000233140
9531	Cercocebus_atys	UP000233060
9402	Pteropus_alecto	UP000010552
61853	Nomascus_leucogenys	UP000001073
37293	Aotus_nancymaae	UP000233020
29073	Ursus_maritimus	UP000261680
10116	Rattus_norvegicus	UP000002494
10090	Mus_musculus	UP000000589
9103	Meleagris_gallopavo	UP000001645
9031	Gallus_gallus	UP000000539
8839	Anas_platyrhynchos	UP000016666
328815	Manacus_vitellinus	UP000053258
28377	Anolis_carolinensis	UP000001646
8496	Alligator_mississippiensis	UP000050525
38654	Alligator_sinensis	UP000189705
8364	Xenopus_tropicalis	UP000008143
NA	Nothobranchius_furzeri	Nothobranchius_furzeri
8090	Oryzias_latipes	UP000001038
8030	Salmo_salar	UP000087266
8022	Oncorhynchus_mykiss	UP000193380
8128	Oreochromis_niloticus	UP000005207
7994	Astyanax_mexicanus	UP000018467
59729	Taeniopygia_guttata	UP000007754
7739	Branchiostoma_floridae	UP000001554
7668	Strongylocentrotus_purpuratus	UP000007110
29159	Crassostrea_gigas	UP000005408
9516	Cebus_capucinus	UP000233040
94827	Tinamus_guttatus	UP000053641
7209	Loa_loa	UP000095285
34506	Strongyloides_ratti	UP000035682
6279	Brugia_malayi	UP000006672
6239	Caenorhabditis_elegans	UP000001940
31234	Caenorhabditis_remanei	UP000008281
136037	Zootermopsis_nevadensis	UP000027135
4533	Oryza_brachyantha	UP000006038
192875	Capsaspora_owczarzaki	UP000008743
55529	Guillardia_theta	UP000011087
3075	Auxenochlorella_protothecoides	UP000028924
38833	Micromonas_pusilla	UP000001876
296587	Micromonas_commoda	UP000002009
70448	Ostreococcus_tauri	UP000009170
242159	Ostreococcus_sp	UP000001568
3218	Physcomitrella_patens	UP000006727
88036	Selaginella_moellendorffii	UP000001514
597456	Habropoda_laboriosa	UP000053825
3827	Cicer_arietinum	UP000087171
3821	Cajanus_cajan	UP000075243
72664	Eutrema_salsugineum	UP000030689
59689	Arabidopsis_lyrata	UP000008694
3708	Brassica_napus	UP000028999
3702	Arabidopsis_thaliana	UP000006548
74649	Rosa_chinensis	UP000238479
3760	Prunus_persica	UP000006882
3694	Populus_trichocarpa	UP000006729
71139	Eucalyptus_grandis	UP000030711
3659	Cucumis_sativus	UP000029981
4232	Helianthus_annuus	UP000215914
4155	Erythranthe_guttata	UP000030748
49451	Nicotiana_attenuata	UP000187609
4113	Solanum_tuberosum	UP000011115
4097	Nicotiana_tabacum	UP000084051
4081	Solanum_lycopersicum	UP000004994
4072	Capsicum_annuum	UP000222542
3562	Spinacia_oleracea	UP000054095
3635	Gossypium_hirsutum	UP000189702
29730	Gossypium_raimondii	UP000032304
981085	Morus_notabilis	UP000030645
85681	Citrus_clementina	UP000030687
2711	Citrus_sinensis	UP000027120
4641	Musa_acuminata	UP000012960
4555	Setaria_italica	UP000004995
4558	Sorghum_bicolor	UP000000768
4577	Zea_mays	UP000007305
4530	Oryza_sativa	UP000059680
15368	Brachypodium_distachyon	UP000008810
45157	Cyanidioschyzon_merolae	UP000007014
2903	Emiliania_huxleyi	UP000013827
9755	Physeter_catodon	UP000248484
5875	Theileria_parva	UP000001949
